runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
15955,1000,10,step,step,21,267,4.237439568,3.201816993,4.138693989,3.66092372,4.14502557,4.170959121,4.053910634,4.223226826,4.032765802,3.925743443,3.357077298,3.28839653,4.12325711,4.186960386,4.191829833,4.196651811,4.209819522
20544,1000,10,step,step,15,236,0.941264818,2.658878001,2.391709427,2.542471217,2.408365356,1.077244606,2.300169774,1.536265584,2.098505901,2.418281391,1.906845619,1.880263763,2.049516068,2.307641486,2.381897606,1.061628182,1.143082006
12145,1000,10,step,step,16,244,6.607607862,7.310998333,6.923245128,7.204069321,6.795297234,6.670643669,6.815535,6.834330475,6.225691838,6.995841503,6.733826555,6.383828898,7.332388213,7.016514178,6.924312336,6.635925238,6.807289876
61494,1000,10,step,step,17,256,4.508901121,5.476381077,4.83685728,5.167511943,4.675701734,4.472168522,4.569045011,4.76246952,5.00168608,5.255299311,6.681920972,6.567439864,5.167710304,4.823158154,4.764755648,4.487818864,4.563245474
47678,1000,10,step,step,31,264,3.380492209,3.570230032,3.910112515,3.788692766,3.941555039,3.488852903,3.873690516,3.705448541,3.879125445,4.08432538,4.822756921,4.811235926,4.106682512,3.833569266,3.858325373,3.480888833,3.504906286
127,1000,10,step,step,14,253,-0.333187074,1.993727509,0.697155071,1.015681596,0.773054014,-0.359468182,0.735982436,-0.040987939,0.295135527,1.260649567,0.084149722,0.18041584,1.04412089,0.697455776,0.645399667,-0.326127102,-0.328604423
98541,1000,10,step,step,19,259,1.659155165,1.311345293,1.816248844,1.565133213,1.677199755,1.71274493,1.712624709,1.796632709,1.865113874,1.63939541,2.826481673,2.921007355,1.685069569,1.686490437,1.886363709,1.653633631,1.776302233
16702,1000,10,step,step,13,228,3.606163626,5.635683481,5.297269666,5.491220079,4.643850719,3.652038909,4.623692774,4.091485761,5.048778821,4.643042554,4.710572881,4.784171146,3.865372642,5.306597151,5.365239617,3.624423286,3.676307962
51778,1000,10,step,step,14,253,4.59797906,5.995834516,5.065570549,5.185465231,4.764981514,4.52749729,4.81087843,4.771436378,5.184710279,4.660183744,4.946572369,4.98978357,4.4893385,5.098924601,5.009403491,4.553539148,4.653710391
98011,1000,10,step,step,14,258,3.612279627,3.088309904,3.010484311,3.145666052,3.001135481,3.526308783,3.281607265,3.369025267,3.093067254,2.824411159,3.076167124,2.972977576,2.959787457,3.007415359,2.895038569,3.588540629,3.602226323
