runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
1,1000,10,step,step,15,257,5.826480288751491,7.273440837273084,6.541137056673612,6.897628131397345,6.480083697496851,5.808578942541301,6.4551115800472925,6.0227680474626215,6.294519602545594,7.068991825543279,8.111335930273942,8.139516619301865,7.093513804055954,6.581736671348829,6.504996547594678,5.819466845807076,5.783038634081209
2,1000,10,step,step,23,306,5.7636066067190574,6.756019473163323,6.148597198370916,6.543135241461566,5.967783423797272,5.886063109498099,5.929371206462028,6.024474994634843,6.295891812455964,6.455490159416323,8.582113036886295,8.64058115748366,6.525018817566057,6.214971695624994,6.094111039239398,5.876090220396361,5.972925414917917
3,1000,10,step,step,17,275,3.5155501621690504,2.530448646669112,3.127044795133775,3.110688394059223,3.212701451113235,3.4699095885059417,3.1706476229093665,3.3076051035821497,3.4234728537113113,3.0074928809358856,3.528173070411496,3.2978587865264943,3.474889483992384,3.0887519655878273,3.0659178661600457,3.47274096981849,3.348712640346231
4,1000,10,step,step,22,266,5.346937026772857,5.038952824793297,5.112427614474574,5.114749500192998,5.515400102033171,5.403418802184261,5.563354244128188,5.300414246943937,5.273585796698923,4.543670990248924,3.8453042254769527,3.8503681040742674,4.738523948961288,5.0604709933122525,5.1176944225600005,5.496190462988051,5.392055744202933
