runid,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,tmle2,aipw1,aipw2
45,1,24,0,0.7370244566679185,0.4680128878273466,-0.11687286787814699,0.38741158723712144,-0.42950487967590234,-0.9436708723226888,-1.2022268330858532,0.5857026101497862,1.5838128482132028,-0.4133270452477458,-0.5368240488142444,1.4717161305266595,-0.6156914190614453,-0.17474774329804305,0.5738835271246748,0.031022416794993447
47,5,32,0,-0.9877863973974295,-1.3930127657817843,-0.2870831805880716,-0.05507635262617877,-0.48096411958931856,-0.5600983196161762,-2.066884783634631,-0.3323832617878564,1.0250199449728514,0.45360672868851637,0.2780642850839756,1.0819759587668987,-1.7295981999154608,-0.486670230188014,-0.9117608550792768,-0.7750005018120667
46,3,29,0,0.9920138515831765,-0.7812748227010751,-0.13918072160766393,-0.03251707331123344,0.5334426942363889,-0.5368327743799437,0.20389707778715582,0.08987593135195748,1.2419653512589583,-0.15396100600765283,-0.3980878906964067,1.3857223443563962,-1.1468101229390661,-0.11311400472052131,-0.3885491842178701,0.5840956662214887
51,7,33,0,-3.4455688771151536,-2.9672509425433016,-1.339874601205473,-1.2269562243305085,-0.615091770838712,-1.345657792858451,-2.079903581966965,-0.5936233657684404,-0.18875190653482754,-1.6081012353100335,-1.4657268324726107,-0.0015264829886052489,-3.1338706430686822,-0.6142748523406146,-3.53193995304185,-1.0190444121376487
49,2,30,0,0.7141746357040093,-1.4731352602975978,-0.8753105485175912,-0.8123833564220372,0.5938412857513936,-3.080285430384887,-1.675764364483948,-0.13719328861253288,1.1804512694721199,1.434339006030541,1.3435599110898728,1.7291823692446853,-1.950282109469393,0.19479261710944157,-0.1382668171956517,-0.0866776224425883
48,4,31,0,0.6905594435216571,-1.541745265267239,-0.3549864952411905,-0.3037384525660368,-0.1606030851540078,-1.1843286840349476,-1.4514947012663137,0.7411975712513046,1.5724554106066408,-0.10964561190621858,-0.06746331716335696,1.9200500825492712,-1.016607969951771,-1.028011276335112,-1.1132704007164846,-0.3437843250309313
53,5,28,0,-0.4578795734812813,-1.6586679229112988,-0.9845256914036886,-0.4603805520240912,0.354401329542815,-1.402861674990075,-1.4020487651824505,0.5061279806979773,1.762393927313246,-0.38809995121029894,-0.4563822058553808,1.060649063429974,-1.5463951023571336,0.08294258144257327,-1.3324524843602266,-1.273582843137871
50,2,32,0,-1.0526722465948728,-2.735439511515442,-0.7597603388357568,-0.5260079831852186,-0.3188210875440056,-0.21371816267816168,-3.078065785921546,0.7226341701852386,1.8625452157069038,1.051411673806117,1.0566301595785152,2.5243850983773064,-3.225232553642691,-0.5510606462103497,-1.5885536510070066,-2.6096279258643436
52,4,28,0,-0.8745092856965044,0.08121389237022658,-0.05178793118908942,0.5915882979060032,0.0525324121238276,0.1666707611366487,-0.2959515368429191,0.7850282677441776,1.492220375100863,0.4734266306523338,0.40151282011697376,1.262239899232541,-0.5793158382315959,-0.2528398988844414,0.00816077671686459,-0.0833849659006279
54,5,30,0,-2.263106488242115,-1.622679723313727,0.021546351992356882,0.4599009854877823,-0.9417768899995013,-0.21823435694206683,-1.7756105868534107,-0.45266475306129905,0.37805593889536837,0.9588046960609171,0.860910897337376,0.9052814535411802,-1.9744928321416024,-1.0432716305455283,-1.638519476319743,-1.3711456077650401
55,4,27,0,0.011243572892078113,-0.250638860405779,-0.5816154123377935,-0.2543775993290376,-0.07987310075299801,-1.9202666930207606,-0.6910515295557484,-0.4743790990449135,0.35926908357798304,-0.44061847945974186,-0.4076774345350227,-0.26923629748811617,0.048039967887958585,0.04881654416973328,0.1121728478458359,-0.4617645940174941
60,11,24,0,-3.4583741740486866,-1.2957283974854672,0.20852518160578404,0.794864203037809,-1.3729448689515757,0.0982383783722689,-2.6538675870627673,-0.5650413727582064,0.21391210377247338,0.36996190921701855,0.3464835350488056,-0.20916579366000487,-2.528894597433529,-0.5932264654297817,-2.2416961965917777,-0.6643332560479901
58,8,32,0,0.4477320695288345,-0.7752310204456334,-0.23251797730072,-0.19878779378216527,-0.138012587184506,0.20428288987440624,-1.2426666207140267,0.1718074159998384,0.992890025492204,-0.5364861908641392,-0.6643609130394332,0.8033744475295936,-0.7695784967909336,-0.3315341006519901,0.2753926098015737,0.11032928518938608
56,4,24,0,-1.4866972708048367,-1.4589248117190827,-0.349412219607518,-0.08245296407317658,0.23625447897125848,-0.28032459470017557,-1.3294663761678782,-0.07676652760702218,0.9969288713689455,0.4840938924208116,0.6207729821316348,1.4472127219504252,-1.5931225361225327,0.23964336025044639,-1.3697864082933942,-0.2292719793197141
57,2,27,0,0.10240696586373055,-1.841152150281311,-1.2758454445147702,-0.5767554233383805,0.11373531145354976,-1.6452437979643442,-0.9314079135541151,1.6783171795460508,2.1638006451343355,1.5301850531190557,1.696832670550195,2.441878942251882,-2.8573415697118714,-0.7578121036281183,-0.6207627140930989,-0.9029682235588076
59,5,35,0,-0.9338887647643057,-0.6778462350251324,-0.7694334183738638,-0.21059275003273586,-0.2466943771141138,-0.2872956651895988,-0.9752556941580561,0.9237597526735328,1.2766850420702252,1.3247883109527292,1.2830016314563606,1.87258616852876,-1.1002294450240655,-0.20359380779635547,-0.4023630619843161,-1.2933596817873494
61,4,27,0,0.878504330551853,-0.30149346489517725,-0.448200671938201,-0.161579343055157,0.9536830366738016,0.3617359793966006,0.34488665210566083,1.054478957049092,1.9065480737381941,-0.033870189791767924,-0.07389927759024228,1.6508057354916108,-0.4467820360918864,0.36677210364356755,0.477477752656146,0.5984298149665341
64,4,27,0,-0.33761987816678296,-0.5182607246987825,-1.2635883356397315,-1.128388703870969,0.5345277651365667,-1.6103602981586347,-0.4722300041838148,1.091271426617637,2.314237185709196,0.0015047226147508752,0.20958663435312275,2.2831154742541893,-0.7616747606177964,0.6679179554382026,-0.8531118936564496,0.3568043334289003
62,4,27,0,-2.010905083471714,-0.519419488050552,0.11332934495468816,0.3895988778824151,-0.4029685048682224,0.20112868474930057,-0.7975542396944642,-0.8949184136125199,0.3606582470293507,0.42423027802786173,0.4648860179119998,0.025734492804727616,-0.9422789740201812,-0.3260395161301148,-0.8538477020114335,-1.025997353902213
