id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,noise,bias,att_est_unbiased
1,toy,A-E,2.9948577331898094,2.930688166657043,2.9307142784866373,2.7948584948578366,3.066570062115438,1,0.06931417532081678,1,linear,1.5560000000004948,0.042000000000371074,-0.10153881285180995,-0.042231368226091526,2.9729195348831343
2,toy,A-E,3.01561680089275,2.9538113328469695,2.9536927324748237,2.7941520949432794,3.113233370006368,1,0.0813982844548696,1,linear,1.1059999999997672,0.035000000000763976,-0.12376355248366867,-0.06180546804578135,3.015616800892751
3,toy,A-E,2.964675336127211,3.03539362086814,3.0354860285357907,2.9027969844646324,3.168175072606949,1,0.06769849187304001,1,linear,1.1040000000002692,0.03600000000005821,0.027100099492490815,0.0707182847409289,2.964675336127211
4,toy,A-E,3.0094865006220126,3.079566371098336,3.080431597746987,2.9442246552653653,3.2166385402286086,1,0.06949333800082745,1,linear,1.045999999999367,0.03099999999994907,0.007217347581176169,0.0700798704763228,3.009486500622013
5,toy,A-E,3.0270671935223943,3.0311442537861035,3.029691093366142,2.9065097572119796,3.1528724295203046,1,0.06284762048681769,1,linear,1.0100000000002183,0.04500000000007276,-0.06260221589486252,0.004077060263708354,3.027067193522395
6,toy,A-E,3.0039205613833193,3.0530026128507286,3.053651692464806,2.9539877032882074,3.1533156816414043,1,0.050848974069693194,1,linear,1.1190000000005966,0.03499999999985448,-0.019150163643218605,0.02953080025426047,3.023471812596468
7,toy,A-E,3.004220879116461,2.8797812152893494,2.879737195620301,2.743904396356154,3.015569994884448,1,0.06930244860415656,1,linear,1.1229999999995925,0.03400000000056025,-0.18970711930410517,-0.12443966382711213,3.0042208791164615
8,toy,A-E,3.0062578055252356,2.9606631782342765,2.9613371294222763,2.844179331330744,3.0784949275138085,1,0.05977438678139387,1,linear,1.5410000000001673,0.03600000000005821,-0.08450355177089777,-0.0455946272909582,3.0062578055252347
9,toy,A-E,2.9455873589797985,2.9981754382418533,2.9961479265650564,2.891971866896833,3.10032398623328,1,0.05315105085113435,1,linear,1.0590000000001965,0.03999999999996362,0.018429399194465266,0.0800312401687826,2.9181441980730707
10,toy,A-E,2.919945370643324,2.814849733448189,2.8150061683373617,2.6919160926972947,2.9380962439774287,1,0.06280105900003415,1,linear,1.0460000000002765,0.033999999999650754,-0.16189668437868446,-0.10509563719513437,2.9199453706433234
11,toy,A-E,3.0110719481434667,2.973768768222169,2.9746497986190517,2.840582497997554,3.1087170992405495,1,0.06840168399056006,1,linear,1.032999999999447,0.032000000000152795,-0.09283700027470915,-0.03730317992129706,3.0110719481434662
12,toy,A-E,2.962367988778121,3.0044560702634984,3.0045859995870825,2.887046579323024,3.122125419851141,1,0.05996909197145852,1,linear,1.019999999999527,0.03400000000056025,-0.007449099123941878,0.04208808148537635,2.962367988778122
13,toy,A-E,3.044435510583409,3.213961233748666,3.214018894922538,3.0434395076885674,3.384598282156509,1,0.08703029960916883,1,linear,1.0079999999998108,0.03499999999985448,0.11449948547083133,0.1695257231652585,3.0444355105834076
14,toy,A-E,2.979584018219367,3.0225567560146755,3.022591172020015,2.9021525672489017,3.143029776791128,1,0.06144826774036387,1,linear,1.125,0.033999999999650754,-0.010427167029199746,0.04297273779530908,2.9795840182193665
15,toy,A-E,2.9825721102712737,2.799212398094795,2.799196255377131,2.662171929908395,2.9362205808458666,0,0.06991037013711016,1,linear,1.01299999999992,0.03600000000005821,-0.22261672229268983,-0.18335971217647895,2.982572110271274
16,toy,A-E,2.973180910096201,3.314031408643496,3.3135216595625385,3.1805571260613417,3.4464861930637354,0,0.06783904770469237,1,linear,0.9899999999997817,0.02999999999974534,0.2709354259191359,0.34085049854729554,2.9731809100962003
17,toy,A-E,3.003846935064984,3.1324861983650116,3.132595973149343,3.0260742992455514,3.239117647053135,0,0.05434779280805708,1,linear,0.9989999999997963,0.033999999999650754,0.07932524334580963,0.12863926330002862,3.003846935064983
18,toy,A-E,3.0544768617523186,3.039484965469038,3.0394506322362247,2.912010843200741,3.166890421271708,1,0.06502030052830797,1,linear,1.0079999999998108,0.03299999999944703,-0.0671920583752893,-0.014991896283280681,3.0544768617523186
19,toy,A-E,2.990671116755879,3.0142639504577486,3.0138197239235613,2.8912594101919318,3.136380037655191,1,0.06253077231205595,1,linear,0.9989999999997963,0.032000000000152795,-0.018502190530711615,0.023592833701870042,2.9906711167558786
20,toy,A-E,2.95194296648555,3.029678980401081,3.029742734856546,2.9025302316832735,3.1569552380298185,1,0.06490433835371054,1,linear,1.01299999999992,0.032000000000152795,0.03409415717332097,0.07773601391553076,2.95194296648555
21,toy,A-E,3.0538093937705084,3.115685457181116,3.115828219245191,2.978786662849477,3.252869775640905,1,0.06991916142638475,1,linear,1.004000000000815,0.04099999999925785,0.019666221222180466,0.06187606341060814,3.053809393770508
22,toy,A-E,3.0951151939641175,2.7958283665675117,2.7958245584980568,2.683163026722749,2.9084860902733647,0,0.057480373354748905,1,linear,1.0060000000003129,0.03300000000035652,-0.3401367531154263,-0.29928682739660406,3.0951151939641157
23,toy,A-E,3.030809639359136,3.3407330620512097,3.3403522194299673,3.1809671587530666,3.499737280106868,0,0.08131890850862276,1,linear,1.0529999999998836,0.033999999999650754,0.20971061602315952,0.2860892348440425,3.054643827207167
24,toy,A-E,3.0405253653352653,3.0263582079541758,3.025559805566784,2.907488915676553,3.1436306954570146,1,0.06024024994399517,1,linear,1.0579999999999927,0.04500000000007276,-0.06863444580514873,-0.01416715738108909,3.040525365335265
