runid,n,p,model.trt,model.rsp,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
26,1000,10,step,step,34,266,3.151667081400487,4.874868706522063,3.7906525154311086,4.13490277949543,3.5385993134459564,3.085785874876027,3.5134477985823294,3.3915056433048196,3.8610830422330693,4.084057025204384,2.5893468468506255,2.5622506991676275,3.630953027294291,3.857154303534308,3.8172058792370858,3.109223867321512,3.1795854269243
29,1000,10,step,step,28,260,3.0564563302170096,2.8153336759018135,3.177965188072908,3.087795901438202,3.19885033335345,3.239553635015409,3.160016678981828,3.1087759420726857,2.96874014089858,2.6370766277940785,3.8327014390407457,3.76246361736822,2.727180911522239,3.243848855957938,3.26187778248545,3.265971949654947,3.2515157402031454
33,1000,10,step,step,25,254,1.5474609151610266,0.9324090164458858,1.9533969163313336,1.5151797896395167,1.85575932435613,1.5566683911537844,1.9858211457985704,1.635324868931992,1.455403598727922,1.4235081842538229,1.315266788285647,1.2984956737754179,1.6258742890185331,1.838123731248105,2.0076649272485048,1.5578036118278207,1.8645552950513467
24,1000,10,step,step,16,234,4.868252924813949,5.719244743665744,5.268567024392418,5.611328857756877,5.148988826779888,4.753402730001101,5.1045375420945565,5.023578482678131,5.546328145929712,5.304763901682527,4.90008171271539,4.936264072034451,5.38158008718529,5.261510959988115,5.2432236350656884,4.741670177785982,4.784409288130246
28,1000,10,step,step,21,298,-0.719488730702155,-0.0031334875059756406,-0.5712948967493096,-0.28298278068041993,-0.5845965242568613,-0.653872306115449,-0.5957187338608041,-0.7212568497032712,-0.5001579801118357,-0.47289516376209706,-1.280872699643857,-1.3693398677751274,-0.4440675402027785,-0.5375387421736774,-0.5782763815262828,-0.7143020233130958,-0.6644459391966646
32,1000,10,step,step,27,293,4.854207355864547,5.621154832118315,5.022456176017763,5.354838321527643,5.1067347606002444,5.000062473405919,5.050975878613942,5.0050452376991155,5.3471842082078425,5.450453536196707,6.311542646633775,6.285236558996627,5.196945043548594,5.034685213370132,5.034851352313435,5.015550473742316,4.940497749424875
31,1000,10,step,step,14,264,2.4374579297842254,2.3771664478061494,2.0557324274888478,2.3259264471399623,2.2233973889328977,2.35840843713992,2.271427823493217,2.2088516779066443,1.8078844845221922,2.2715850551778236,1.5694095484704773,1.4886434077723896,1.885107877817257,2.0997697858475197,2.1097486836841086,2.3220488373138948,2.2582645960999725
30,1000,10,step,step,23,244,3.78492344070544,3.496384181006593,3.788792584479259,3.7198389222568897,3.8568174488746076,3.7962722306902226,3.7935628327269915,3.876625326876581,3.875533982101962,4.2398039718241565,3.901346188224891,3.7978843579339747,4.147373181946371,3.7811952060756093,3.8358922923437384,3.785367466073261,3.818430794301308
27,1000,10,step,step,18,263,5.032389404257887,5.936757773490957,5.836542241951424,5.955931056460131,5.631202604471932,5.062972931868097,5.538911351857951,5.480495639271972,5.664002431706958,5.987646637039956,6.487932782367612,6.561873822203592,6.037190282662674,5.73449654172067,5.755550349330047,5.087602635493089,5.2350901234769855
25,1000,10,step,step,11,256,4.029911543097582,5.1967682195319895,3.931043101508136,4.198768401524413,3.9099001729034635,4.147184723850336,3.693995801763069,4.202181640207549,4.2638243960686175,5.057961631387456,3.4297749412948213,3.089621761037966,4.529717697372263,3.878364811791513,3.8866008306145368,4.058618833723773,4.073446268813445
