runid,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,cem_avg,onenn,tmle1,aipw1
80,6,0,0,-1.2317345751077315,-1.6631472849710045,-0.3419687498923132,-0.23430493497658264,-3.42951196362133,0.12834032462476763,-4.112287741911914,0.04240558886048085,1.099488824802894,1.3408280868032394,-1.9760500203936582,-0.9101861295992634
81,1,0,0,-0.049652286930025546,0.5219175441410773,-0.1414269204564773,0.09740811212575631,-3.0259802665593813,0.7009318913672633,-3.359086555328239,1.6277203022122624,-0.45877686608223556,2.4006949028536297,0.38793971979246517,1.0345450704856127
82,5,0,0,-1.8792697654776314,-0.9926504389847981,-0.7168370363193759,-0.3163828460960869,-0.59048298742539,-0.25463706072324577,-3.789773886359031,-0.929682949152582,-0.5616681708479483,0.11679584981589564,-1.6961976049666263,-0.4738772592431068
83,4,0,0,0.7564282273083922,0.7526089241472542,-0.7179275070020577,-0.4137549001020148,-0.79152852748565,-0.26148028262306244,-0.9477890215939615,0.940651163594886,1.0716569442853192,1.4656237443452271,0.9280250999735294,0.95538117786727506
84,4,0,0,2.6372170740839724,1.354546507152703,0.23109648546099137,0.3410070222469472,-0.616398980903366,0.349260459321707,-0.5626584172440534,2.57681232738247,0.9174641354481263,2.5983023766808824,0.6277714476134822,1.5733188377776517
85,3,0,0,-2.834814029287778,-2.0244941262388676,-0.3120175644188734,0.9146369271512166,-3.240125630666415,-0.36075950191165296,-3.5063004386641956,-1.2570005592540312,-0.9512310053592694,-0.5325513067419987,-2.500275680861956,-2.073451976063061
86,5,0,0,-1.4045601316318868,-0.42276735617742567,3.468386855498551e-5,0.48690328569954916,-3.328263166229902,-0.1506247423369178,-2.9083562214980354,-0.31129506269612417,-0.7110248630608398,0.9878387867087133,-0.6938277844239602,-0.19350364244369433
87,5,0,0,0.18790902772329598,-0.43335326035532695,-0.292403075451686,-0.3401413077623483,-1.029732910964189,-0.12491048787540127,-0.9080967086996923,-0.02211990144745002,0.5405065140137952,0.9748277819678108,-0.5844545029569403,0.1497172830639954
88,2,0,0,-2.644047678878353,-0.7114778773666135,-0.26959963345354065,0.423421506918517,-4.216568396340914,-0.4124016833730817,-4.139870592236533,-0.6567941055054582,-1.1390247499656825,-0.13260293888481378,-0.6171005227004529,-0.3318420264770364
89,4,0,0,-1.851116666075102,-1.1319909135988393,-0.5434387060447943,-0.24241399231972313,-2.680941461303145,0.006847082638688384,-2.476501687136408,-1.1253392298657312,0.04494740465211766,0.04356371993907793,-1.62730028728713,-0.8658554736305255
90,2,0,0,-2.2322908966572896,-1.2451581566172694,-0.2575317755669868,0.1553617365925459,-2.308323835290209,-0.17479491331654984,-2.2033790280077543,-0.04355059987418741,-0.10550224742922865,0.1294596759930151,-1.3648181311652627,-1.4101924471941383
91,2,0,0,-0.14589300175479014,-1.0036663575452645,-1.047668402730479,-0.7828702018929782,-1.4677248148990438,-0.534905082407386,-3.300383622724463,-0.03024468659272639,0.24687262847093194,0.04908433901792986,-1.524063260983698,-0.4459056810295406
92,5,0,0,-1.955634203383374,0.5316138451525427,-0.8354630666272014,0.21879748037372312,-5.305289748614229,-0.056166098485178395,-4.129414537994328,-0.016608250825019155,-2.412345179486806,0.6374508302092439,-0.01048745057434548,1.3032655138089047
93,6,0,0,1.3519257403595057,-0.28722399525918085,-0.9253072757895318,-1.0143675917894484,1.1934709944315642,-1.6713399962125406,1.0431639012110336,0.9145076923906101,-1.0042133941803641,1.651434291131821,-0.5577483794500171,0.05719285130218836
94,4,0,0,-0.41170950367266457,0.28030457200927383,-0.2265385605124477,-0.09409135809310068,-3.700946811577335,0.604088252392553,-2.2168588845047967,0.41433632935062903,-1.3697712730972542,1.4231850997153863,0.05913448599012503,0.34312263794048875
95,2,0,0,-2.029517775796898,-2.7897093190505506,-0.7624790414139291,-0.586189449803971,-1.4563211454266898,-1.044244424985238,-1.9170589621709508,0.27632258261308884,1.0034309775459684,0.825316172042184,-2.7369039065666207,-2.6611049241591234
96,4,0,0,-0.8104053769514739,-0.23164009053664714,0.0984064926359185,0.44035960723503376,-1.4511148667158407,0.9067422272516392,-1.5282562262163601,0.5035321151567844,-0.4114060452854682,0.7194763459375704,-0.4310608783250173,-0.23818324560410287
97,3,0,0,-0.8207138103099991,0.9580929568795993,0.24448506905823209,0.984318749458124,-4.856749076698754,0.12895220727806667,-3.6514641737791456,0.12229988679068438,-0.9457266953935441,0.8129204348224928,0.3260014135308022,0.42307452920001337
98,6,0,0,-1.2783353311074235,-1.0403131334220852,-0.7876157306065901,-0.4662593130963328,-0.7349886767496682,-0.8686683797841424,-1.702464921211262,0.3187493838379325,-0.8988926248530991,0.4352066479856118,-1.2488057534271904,-0.8985596242083462
99,1,0,0,-0.6859976424271732,0.5365365401739384,0.39412743776410686,0.4689162279162702,-1.9923633466082424,0.5641113290821274,-2.0747553323314563,-0.45619413906248063,1.3156383118953303,0.5778473189650182,0.5613264687362488,0.6458596769669462
100,6,0,0,-0.6909047179152639,1.1664696596504411,-0.37780516049759694,-0.3259331948396304,-2.309364842282372,-0.9902719791092833,-2.031647477476489,0.18909629110217807,0.4217255419811021,0.763933054658124,1.4757689611065032,1.4414975699761954
101,2,0,0,0.9542439526082491,1.2958018191744953,0.055523076046751996,0.16123029641136158,-1.423646918507832,0.011575278678697565,-1.3761843214854608,0.564649997520692,0.8089097705929076,0.39051551577591503,1.1755443930352398,1.4811382246141445
102,2,0,0,-2.041397941918718,0.7440616692126971,0.4069647467967563,1.1644861830787858,-4.092257451208595,1.176370490080238,-4.982393625305986,0.29474649648284945,-0.8995232672167512,0.6925856842958309,0.5861779972661216,1.0596365607734421
103,4,0,0,0.6001398196384464,0.7259998529619534,-0.5514651863716251,-0.2656692277990629,-0.5203777657636277,-0.2160679529534173,-1.1884288353278771,0.7285868435849681,2.0217663760841105,1.500265057189151,0.6132516508871111,0.9172033722877306
104,2,0,0,-1.2939505477657045,0.6813501173501839,-0.1485794727864267,0.5014494954358688,-2.6535906088359953,-0.5181192197593676,-2.336372562331274,-0.4371291126640857,0.18867085818228446,0.4955621961146397,0.3610099931944037,0.4735256472437837
