runid,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,cem_avg,onenn,tmle1,aipw1
1,0,-0.19055064804624688,-0.2488457676721456,0.034323398157949825,0.6245791404038098,-2.33741447605392,-0.2546996520549625,-3.3317313011247585,-0.1773428451448611,1.2105195069440828,0.41780197207599024,-0.7348143194468713,-0.7345937840548514
2,0,2.5853827584364284,2.205970330082197,1.3884780915620478,1.44053699759119,-2.749558131270184,1.3491506601028647,-1.6040153507273072,1.1680773253107164,-0.08009019193495437,3.0017885997314213,2.9066048330211602,2.8257399637014244
3,0,1.4441071420933964,0.4716949760079041,-0.23968645631436836,-0.16694563659953027,-0.5912106199467438,-0.2589410343246419,-0.4576391648300273,2.0068351639243422,-0.007318188432322792,2.40229387631104,0.9610810781411385,0.797934364957828
4,0,-0.6127327165549188,0.07346468652427873,-0.7505100542276821,0.009765886792018827,-3.3642049743262397,-0.028019739765637652,-3.240269612740626,-0.4651564855583006,-0.22748484970520177,-0.1916714004793798,-0.7491771932576957,0.17517507355829215
5,0,3.6870251049095337,0.40256382870681584,-0.6429143008290126,-0.4034570278591749,0.6108674066316885,1.6118075659725317,-0.30279142631551714,0.2804654512866005,0.6418440398101626,2.742726816107165,0.06314154446109932,1.916148547970234
6,0,1.0182861046713372,1.4904731818065118,0.005271798632826119,0.8135204179423327,-2.8620108487393,0.3568758724980867,-0.9840884963160423,-1.3815959859089801,0.22275554831378885,0.3754430128446984,1.2530428176570165,2.7162022390108516
7,0,-0.3595119377162863,-1.8889651481683707,-0.8026497966262882,-0.5212288782893655,-2.911747596654381,-0.9121262460464017,-3.1381767307327504,-0.8289086325419541,0.22808726437121418,-0.16073095641196922,-1.9951144810093573,-1.3537796157749786
8,0,4.107992892840456,4.849126330625322,-0.10564379663840917,0.045993819048905094,0.7887460545790584,2.1981197879943846,2.2266930809181193,0.6398250726113712,0.36480792469469936,6.440746458187079,5.045835713614414,5.916568563214665
9,0,0.14040926043187518,-1.3619655410244187,-0.36001743042187595,-0.11894417465719026,-3.4521827097100775,-0.43153328342575126,-4.097099895849769,0.6417236291169779,0.29653579607306124,1.9970088355274758,-2.2206396084690483,-1.163565488948919
10,0,1.8206840050841144,0.6635993290401991,0.3326773522143718,0.33607932133916707,-3.6150809533375914,0.6752349298043638,0.40799506369234617,0.39806995851233395,-1.1101383253696158,2.027219144732551,1.665821049507248,1.0897913263993666
11,0,-1.5505582591566895,-0.4444814381746145,-3.348019491135858,-3.4614851953921946,-3.271687870845736,-2.150723333832257,-2.5010881965196656,-0.5933733101492198,-0.46371700276929984,2.367164333211279,1.2007810559754408,-0.07286887131279038
12,0,4.378253355595205,3.160762801870691,3.2267016071499004,3.386391035760476,3.307641891104503,3.3077611757965375,3.4037987414192736,-1.5164567640750972,-3.704123273330338,3.884193044917044,3.4141244217910955,3.5547864050324773
13,0,-1.1001806114656105,0.8530993518524026,-0.3372163080228905,1.1196818910951245,-7.475258880968697,1.0270971132005124,-6.677466238689497,0.994219325457931,0.5435340494773842,3.3980124196449664,1.6006248311000113,1.300452376298105
