runid,n,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,cem_avg,onenn,tmle1,aipw1,tmle2,aipw2
1,1000,8,49,0,-22.625105278218427,-3.917525798289631,-6.610559402642821,-6.614842212834381,-1.452251102909404,-4.776339391410886,-4.652221809684306,0.05870478830709658,-6.754368880813757,-5.068585569615095,-2.5520913959448324,-3.932089418540011,-0.4877418825216699,-1.3643225664344245
2,1000,5,45,0,-18.939940002834533,-7.856848196774138,-8.280373354076858,-9.24397304516268,-0.6261522273245038,-5.453445282867364,-5.1291911757571995,1.4521274219628708,-7.349430732367239,-4.904216617091578,-6.4196420556942435,-8.327833510677872,-1.109419548322722,-2.243217121024792
3,1000,7,61,0,-20.27808401679053,-4.251943526089377,-6.401714422810159,-6.4412169333634735,-0.10443471855161836,-2.161946979180186,-0.6806535488322254,4.531651164992326,-5.900596487926919,-3.228745064478801,-2.2660071896287257,-1.0115051053497102,-0.5592412968294479,0.09270810771572309
4,1000,1,36,0,-19.404894101444143,-4.738073539168056,-6.233243715460503,-6.720331745575639,-0.9708614111676854,-1.752671179603766,-3.830047516589758,3.38883504097069,-3.9460605942089444,-4.1240896796483355,-2.5702724892070496,0.7034090535754457,-0.4123696973647526,-0.11766182234936089
5,1000,3,37,0,-23.002540066928503,-6.191811511290183,-8.2806724316427,-8.706319139995648,-1.341371976511379,-4.767668425407322,-5.650379614355046,-2.0512573293349874,-9.567281923474553,-7.246235640879831,-5.557380657999322,-7.153314432003249,-1.063929313979353,-3.4575977093886037
6,1000,5,56,0,-18.995335254724694,-7.767910795521971,-9.683379619223103,-10.310645828302862,-1.1221351603648118,-7.7629192086139085,-5.005700353219964,-2.828071981282733,-6.565155053887139,-5.206647424879435,-5.469992307373748,-7.531138726376069,-0.4040732135147876,-1.1939987484242638
7,1000,8,44,0,-23.252284217169034,-6.744923482777608,-9.078304139436483,-9.167381894830806,-1.0333596872013646,-5.028277341254324,-5.754018727261837,2.3687527002048796,-10.980296202129722,-5.3475079930339575,-5.149282007855316,-7.375611110685275,-0.9659924699317274,-2.336716699795093
