runid,ninf,ninf_cem,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,tmle2,aipw1,aipw2
1,3,22,0,-0.7453142996417617,-0.18205237497332938,-0.6821511103960107,-0.8105142861761964,0.02087298490391797,-1.1575803993521045,-1.8784188824055477,0.3501669718913991,1.1632912832495341,-1.0985621844549938,-0.9304052978433104,0.5600082959862025,-0.6362734459360841,-0.47136825793390663,0.5587780285985268,-1.2733437116423982
2,6,29,0,-0.29372236530710616,-0.809212539441643,-0.2899789890022557,0.225991871628647,0.24876363946179358,-0.03739391107987533,-2.48083527017992,1.3212097803428042,1.4273783670984619,0.45505683098795746,0.4989404988486372,1.5246721294488443,-1.107981381552887,-0.5403456242871185,0.24842922050232982,-0.7414241708296496
3,13,38,0,0.8647855778674014,0.8247421639518375,-0.28793627763286445,-0.2529418230866422,0.828704632580043,-0.27219177278073126,0.025447905047688124,0.2980260672263517,0.8490490823720585,1.661008704556096,1.7271313242623627,1.3337715741814877,1.0643340459531216,1.0223975429225127,0.9823114882001871,0.39567497458048795
4,1,23,0,-2.9691135045895303,-1.8558161394932053,-0.2513457491564015,0.7689410362088934,-0.4008023648527145,-0.2515133079277847,-1.926032840804445,-0.64557665828898525,0.22247365027601695,-0.9827627516144606,-1.0032501745468898,1.108735699544372,-1.9755748348745819,-0.5934882662394434,-1.932708918088598,-1.2158046944769674
5,3,25,0,-0.6299285375133161,-0.6911035802287788,-0.18604180553202276,-0.005698724686891723,-0.09061148901018702,-0.3367889845522978,-0.8752312898215475,0.10547015145408789,1.1347365098435795,-0.018097720146639684,0.029488233336910863,1.1071491840096348,-0.7607375900657942,-0.027426397662162188,-0.6677878654663594,-0.4608998488639462
6,1,27,0,-0.5469253665285327,-0.4402969806898529,-0.1284206301729025,-0.28140093781949205,-0.04425252216266037,-0.12439186371544153,-1.1831751757827327,0.09621800493853616,0.821418181333283,0.419415289284228,0.3516152042879459,1.0102890431209994,-0.5178390332617824,-0.028916584204975802,-0.4796039014781714,-0.6537212918539941
1,6,29,0,2.385789047320105,2.798451158231745,0.11750659210869863,0.23809416931970953,0.3792909720275456,0.8965133752591177,1.4696082990702832,1.2674082210455087,2.2342190497115544,-0.23624681627229904,-0.07425506484571986,2.4257400569866743,2.879796514856971,0.661885710470225,3.1315127142081334,0.8640173361470191
2,4,28,0,0.254587383199814,0.7434169198523994,-0.34833555446177744,-0.20724890165376172,-0.18991044442824237,-0.2913171256011591,-0.2333903933011534,1.0109455234272842,2.1821346383370006,0.3295408780777498,0.48877678427216775,1.5497299461666465,0.8179804382809551,-0.0497863509022667,0.35691760825661817,0.7933632042888618
3,4,29,0,0.6931210730908406,1.6812235422487793,-0.25246608371801926,-0.061472185861679296,1.032907527603243,-0.15379000673563858,-1.1632551633372223,1.4272536929272617,2.435618066169689,1.0422343313185998,0.7586341251141597,2.0244203418639843,-0.06190550931587093,0.1301317549608227,1.1818798873336331,0.5190329703539295
4,2,26,0,-0.9996745458025087,-0.11269491007009602,-0.41251261559126196,-0.3309850006241214,0.2923775245153109,-0.1850116266222388,-0.15292509271004828,0.9091455255746617,1.9244881127464857,-0.6138107849421868,-0.7074875835004262,1.8324636597150818,0.2121294050776448,0.03362613039986161,0.10485284223486677,-0.40214636999737713
5,4,25,0,-0.48469068903602697,-0.7887818987942854,-0.2334487539375516,0.41407687887544503,-0.30002261100223165,-0.3498846060231422,-0.6572231121805814,-0.5349570446030807,0.9125933611085459,1.0143002714128908,0.9338932036805554,2.372014378761688,-1.77311618994693,-0.6141497799310637,-0.4289044654728087,-0.6689872220712839
6,5,31,0,-1.3318718719570262,-1.1721249221004424,-0.818420221646635,0.6172893039601647,-0.39606173211332224,-1.6647663628893872,-1.4057631376302808,-0.6746473158257187,0.7084457879467871,0.2864757805450955,0.6591252554976736,-0.36954210832024703,-2.1674206368888678,-0.34641199939010053,-1.0177753101085545,-1.6611975269896027
7,4,27,0,0.5600854490122122,-0.25978501593550796,0.13930927480713962,0.3092613481179648,0.6894017411484794,0.20961824047626454,-1.1391743712307,1.788719246610854,2.764621456644977,2.2068016716489622,2.1151997541770626,2.4669930161819824,0.4708664927320198,-0.662789310235461,-0.1905372880674226,-0.6394284286384433
8,4,30,0,0.07939342026371143,-1.7517344123003777,-0.26270780635997326,-0.48467139978487006,0.2338507681512003,-0.237241420247714,-1.1946580685260146,0.7998023361826396,1.7470541360063256,-0.4437303539814321,-0.3970829187197551,1.258226863640174,-1.49175781024491,0.40289267073608576,-1.122832327267275,-0.5649761425683787
9,2,26,0,0.2398423731308572,-0.37803181628902216,-0.11265256902373544,0.07581489413266838,0.9902223224076954,-0.8155236261908492,-1.0115119412126052,0.10935858390949793,0.9794343857813441,0.5541946362269616,0.2534445772976577,1.6420126913031572,0.10149718975165285,0.26246713395194193,-0.059623072892947056,-0.27360045095287405
