id,name,att_true,att_est,lower,upper,covered,se_AE,error,bias,true_SE,lower_with_true_SE,upper_with_true_SE,covered_with_true_SE,N_T,N_C_tilde,deg_overlap
1,toy,2.9948577331898094,3.1489240245891468,2.951727201611852,3.3461208475664415,1,0.10061062396800742,0.0843776107396697,0.06968868065966571,0.094534585742016,2.9636362365347955,3.334211812643498,1,100,38.839247747321146,low
2,toy,2.9948577331898094,2.958185428664094,2.7718921393115603,3.1444787180166274,1,0.09504759660843556,-0.10636098518538319,0.06968868065966571,0.094534585742016,2.7728976406097425,3.143473216718445,1,100,38.839247747321146,low
3,toy,2.9948577331898094,3.100367705041015,2.916434062058959,3.2843013480230714,1,0.09384369539900823,0.0358212911915366,0.06968868065966571,0.094534585742016,2.915079916986664,3.2856554930953665,1,100,38.839247747321146,low
4,toy,2.9948577331898094,2.9528896894284076,2.7399302886435595,3.1658490902132557,1,0.10865275550247362,-0.11165672442107258,0.06968868065966571,0.094534585742016,2.7676019013740563,3.138177477482759,1,100,38.839247747321146,low
5,toy,2.9948577331898094,2.944676938618529,2.7301454014415176,3.1592084757955403,1,0.10945486590663851,-0.11986947523094976,0.06968868065966571,0.094534585742016,2.7593891505641777,3.1299647266728803,1,100,38.839247747321146,low
6,toy,2.9948577331898094,2.9587614484838856,2.766446279943188,3.151076617024583,1,0.09811998394933563,-0.10578496536559,0.06968868065966571,0.094534585742016,2.7734736604295342,3.144049236538237,1,100,38.839247747321146,low
7,toy,2.9948577331898094,3.0869381998365686,2.884941737683354,3.2889346619897832,1,0.10305941946592594,0.0223917859870875,0.06968868065966571,0.094534585742016,2.9016504117822173,3.27222598789092,1,100,38.839247747321146,low
8,toy,2.9948577331898094,3.2630581463950854,3.0686628928946673,3.4574533998955035,0,0.09918125178592756,0.19851173254560472,0.06968868065966571,0.094534585742016,3.077770358340734,3.4483459344494367,0,100,38.839247747321146,low
9,toy,2.9948577331898094,3.2322254005226476,3.057352345961638,3.4070984550836574,0,0.08922094620459682,0.16767898667316547,0.06968868065966571,0.094534585742016,3.0469376124682963,3.417513188576999,0,100,38.839247747321146,low
10,toy,2.9948577331898094,3.1943096233957373,2.978488334807464,3.4101309119840106,1,0.11011290234095578,0.12976320954626197,0.06968868065966571,0.094534585742016,3.009021835341386,3.3795974114500886,0,100,38.839247747321146,low
1,toy,2.9948577331898094,3.0935440968491568,2.9364626771994473,3.250625516498866,1,0.0801435814539334,0.041735914182438716,0.056950449476899756,0.0859123654967915,2.9251558604754453,3.2619323332228682,1,100,51.219699359229026,mid
2,toy,2.9948577331898094,2.938733949221848,2.7649890994388127,3.112478799004883,1,0.08864533152195661,-0.11307423344486843,0.056950449476899756,0.0859123654967915,2.7703457128481364,3.1071221855955593,1,100,51.219699359229026,mid
3,toy,2.9948577331898094,3.019034478274187,2.8303024340694574,3.2077665224789165,1,0.09629185928812736,-0.032773704392529676,0.056950449476899756,0.0859123654967915,2.8506462419004754,3.1874227146478984,1,100,51.219699359229026,mid
4,toy,2.9948577331898094,3.010843632258811,2.8387312586826416,3.1829560058349804,1,0.0878124354980455,-0.04096455040790885,0.056950449476899756,0.0859123654967915,2.8424553958850995,3.1792318686325225,1,100,51.219699359229026,mid
5,toy,2.99485773318981,3.0777816194524235,2.8816185354389314,3.2739447034659155,1,0.10008320612933275,0.0259734367856983,0.056950449476899756,0.0859123654967915,2.909393383078712,3.246169855826135,1,100,51.219699359229026,mid
6,toy,2.9948577331898094,3.151314511435629,2.9569936717653005,3.3456353511059578,1,0.09914328554608612,0.09950632876891176,0.056950449476899756,0.0859123654967915,2.9829262750619177,3.3197027478093406,1,100,51.219699359229026,mid
7,toy,2.9948577331898094,3.1471776309380344,2.9618504587579344,3.3325048031181344,1,0.09455467968372443,0.0953694482713181,0.056950449476899756,0.0859123654967915,2.978789394564323,3.315565867311746,1,100,51.219699359229026,mid
8,toy,2.99485773318981,2.981737912131023,2.7854945981512134,3.1779812261108327,1,0.10012413978561724,-0.07007027053568916,0.056950449476899756,0.0859123654967915,2.8133496757573115,3.1501261485047345,1,100,51.219699359229026,mid
9,toy,2.9948577331898094,3.0422794229909664,2.8737268363843413,3.2108320095975915,1,0.08599621765644133,-0.00952875967575395,0.056950449476899756,0.0859123654967915,2.873891186617255,3.210667659364678,1,100,51.219699359229026,mid
10,toy,2.9948577331898094,2.941771158412478,2.7614062584877095,3.1221360583372464,1,0.09202290812488174,-0.11003702425423718,0.056950449476899756,0.0859123654967915,2.7733829220387665,3.1101593947861894,1,100,51.219699359229026,mid
1,toy,2.9948577331898094,2.9472269062355627,2.7570052189710297,3.1374485935000958,1,0.09705188125741485,-0.12004250322232318,0.07241167626807865,0.090017213412153,2.7707931679477427,3.1236606445233828,1,100,44.61816807403296,high
2,toy,2.9948577331898094,3.2021572799149682,3.0303458554650735,3.373968704364863,0,0.08765889002545656,0.13488787045708484,0.07241167626807865,0.090017213412153,3.025723541627148,3.3785910182027883,0,100,44.61816807403296,high
3,toy,2.9948577331898094,3.176862006070305,2.9816790133606417,3.3720449987799683,1,0.0995831595457467,0.10959259661241785,0.07241167626807865,0.090017213412153,3.000428267782485,3.353295744358125,0,100,44.61816807403296,high
4,toy,2.9948577331898094,2.950322392233164,2.753544498135785,3.1471002863305433,1,0.10039688474356087,-0.11694701722472335,0.07241167626807865,0.090017213412153,2.773888653945344,3.126756130520984,1,100,44.61816807403296,high
5,toy,2.9948577331898094,2.877318160082079,2.6838230741396703,3.0708132460244877,1,0.09872198262367801,-0.18995124937580526,0.07241167626807865,0.090017213412153,2.700884421794259,3.053751898369899,1,100,44.61816807403296,high
6,toy,2.9948577331898094,3.0335250905208637,2.8580182666192404,3.209031914422487,1,0.08954429790899152,-0.033744318937018125,0.07241167626807865,0.090017213412153,2.8570913522330437,3.2099588288086838,1,100,44.61816807403296,high
7,toy,2.994857733189809,2.9959598954102367,2.8055223602036223,3.186397430616851,1,0.09716200775847665,-0.07130951404765107,0.07241167626807865,0.090017213412153,2.8195261571224166,3.1723936336980567,1,100,44.61816807403296,high
8,toy,2.994857733189809,3.133934707084676,2.9362515173926127,3.3316178967767396,1,0.10085877025105269,0.06666529762679183,0.07241167626807865,0.090017213412153,2.957500968796856,3.310368445372496,1,100,44.61816807403296,high
9,toy,2.994857733189809,3.0067551074825474,2.829116097882494,3.1843941170826007,1,0.09063214775512918,-0.06051430197533619,0.07241167626807865,0.090017213412153,2.8303213691947273,3.1831888457703674,1,100,44.61816807403296,high
10,toy,2.9948577331898094,3.042594311969526,2.858368198039865,3.226820425899187,1,0.0939929152702353,-0.02467509748836657,0.07241167626807865,0.090017213412153,2.866160573681706,3.219028050257346,1,100,44.61816807403296,high
