id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
1,toy,A-E,3.0199728796866863,3.0411292450954823,3.041049870640336,1.9473735750014993,4.134726166279172,1,0.5579981100198146,1,linear,1.5770000000002256,0.06599999999980355
2,toy,A-E,3.0733845493652936,3.2282386574323665,3.2282280612786303,2.1067006346484374,4.349755487908823,1,0.5722078707296903,1,linear,1.3779999999997017,0.032000000000152795
3,toy,A-E,3.058418918381118,3.2734604545654005,3.2740589851643365,2.174179528895185,4.373938441433488,1,0.5611629878924241,1,linear,1.436000000000604,0.033999999999650754
4,toy,A-E,2.964709254726471,3.1259010062305403,3.1257441545032414,2.0802180817224496,4.171270227284033,1,0.5334316697861183,1,linear,1.342000000000553,0.03099999999994907
5,toy,A-E,3.0754822736647713,3.134040946060641,3.133806350422111,2.198366438680029,4.069246262164194,1,0.4772652610928992,1,linear,1.36200000000008,0.02999999999974534
6,toy,A-E,3.044482600300946,3.067854678074566,3.067919873815689,2.0189180041102395,4.1169217435211385,1,0.5352050355640048,1,linear,1.3369999999995343,0.04100000000016735
7,toy,A-E,3.1097465522374463,3.3134830416154655,3.313555499361496,2.4314594292153906,4.195651569507602,1,0.45004901538066616,1,linear,1.8389999999999418,0.03499999999985448
8,toy,A-E,3.0742591048797205,3.1163224686653725,3.11428737110765,1.894584062098743,4.333990680116557,1,0.6222976066371974,1,linear,1.3969999999999345,0.032000000000152795
9,toy,A-E,3.1560670407409184,3.432223443580929,3.4318512081117953,1.9823030698662258,4.881399346357365,1,0.7395653766559028,1,linear,1.3699999999998909,0.03299999999944703
10,toy,A-E,3.036017748787077,3.3292312114850766,3.3285351536998484,2.26255856533679,4.394511742062907,1,0.5438656063076827,1,linear,1.806999999999789,0.03300000000035652
11,toy,A-E,3.059800502657817,3.0787706807209423,3.0784965748593054,2.0055671533106194,4.151425996407991,1,0.547412970177901,1,linear,1.4880000000002838,0.032000000000152795
12,toy,A-E,3.010916299497545,2.949781190578756,2.949855565206644,1.7473080787605535,4.152403051652735,1,0.6135446359418829,1,linear,1.4809999999997672,0.03299999999944703
13,toy,A-E,2.9923458978927266,3.125116802027759,3.1250485281909106,1.9433431963389218,4.3067538600429,1,0.6029108835979534,1,linear,1.4620000000004438,0.032000000000152795
