runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
1,1000,100,0.1,0.183951596,0.355586287,0.35536655,0.240895259,0.142366589,0.222172465,0.201012958,0.24612332,0.240222571,0.229694496,0.227153635,0.218371979,0.217928913,0.356559815,0.157975199
2,1000,100,0.1,0.189722737,0.354445352,0.354384205,0.223120044,0.113177289,0.220244215,0.286371635,0.226788686,0.221005662,0.209129002,0.221071153,0.215838609,0.196222344,0.354297555,0.127372395
3,1000,100,0.1,0.196446905,0.366442909,0.366070377,0.24636444,0.147023714,0.230693545,0.204295819,0.240410655,0.235787487,0.233420201,0.211812349,0.222236023,0.220557461,0.366727118,0.160703189
4,1000,100,0.1,0.200852269,0.364308439,0.364268168,0.244858762,0.158040548,0.222866916,0.205552097,0.229710693,0.226335203,0.221588606,0.199215091,0.22369208,0.202975679,0.364478949,0.176147727
5,1000,100,0.1,0.216276455,0.366527606,0.366435573,0.231395639,0.125710483,0.215027978,0.330644345,0.222520328,0.209305348,0.209143365,0.158747412,0.19731318,0.169826933,0.366045259,0.164676348
6,1000,100,0.1,0.199083171,0.366878974,0.36689052,0.234394122,0.118390463,0.231783489,0.208088836,0.2351738,0.194414206,0.229567681,0.196584985,0.193430442,0.196429998,0.367010078,0.129650956
7,1000,100,0.1,0.187266918,0.379438099,0.378384782,0.240096684,0.145523936,0.22522559,0.178279308,0.222810802,0.227232565,0.224389261,0.249185883,0.269452784,0.227226559,0.379409442,0.160580759
8,1000,100,0.1,0.207596309,0.364273642,0.364228349,0.230854022,0.124284789,0.201922568,0.229818065,0.205906422,0.198310917,0.211295224,0.192394988,0.186196885,0.172302612,0.36451375,0.13530833
9,1000,100,0.1,0.178831968,0.367479182,0.367242333,0.236272824,0.135882986,0.205254206,0.302574896,0.211844548,0.202304656,0.208278233,0.173654282,0.194690845,0.172566955,0.367373977,0.152096693
10,1000,100,0.1,0.201885379,0.354265727,0.354179631,0.239257846,0.143023936,0.239556832,0.207233614,0.248261978,0.241389993,0.242345214,0.221130099,0.237196475,0.229613354,0.354481612,0.147111467
11,1000,100,0.1,0.20677066,0.355407603,0.355266537,0.230985928,0.124254938,0.221603424,0.177305725,0.229831281,0.214275301,0.224377353,0.236710806,0.230067311,0.209827203,0.354827845,0.135523188
12,1000,100,0.1,0.184500118,0.350330861,0.350661312,0.203449935,0.105036759,0.217681516,0.14534023,0.200905041,0.204215151,0.190180549,0.181248836,0.18989047,0.172433725,0.35074139,0.110337156
