runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
1,1000,200,0.15,0.203542073,0.413022331,0.41279367,0.277840057,0.185798637,0.23280421,0.3793596,0.243613674,0.231261143,0.239420926,0.240862426,0.234727905,0.208626704,0.413455548,0.252937375
2,1000,200,0.15,0.170558207,0.390730218,0.39180335,0.233798417,0.138279831,0.194446519,0.16412824,0.1932716,0.190704384,0.184927413,0.192619557,0.190879643,0.176433523,0.391987486,0.178543741
3,1000,200,0.15,0.198734149,0.436275628,0.436295136,0.276292399,0.174016299,0.230071312,0.251981005,0.220068455,0.23450741,0.214198586,0.219784839,0.227992122,0.204242481,0.436362368,0.227010679
4,1000,200,0.15,0.194502125,0.414036063,0.414020194,0.267111965,0.177894743,0.241470978,0.24852612,0.250968099,0.264132762,0.241779612,0.24359602,0.248905973,0.248758955,0.413974808,0.222970206
5,1000,200,0.15,0.207206719,0.444081757,0.444081757,0.288455979,0.19986501,0.241663887,0.263994417,0.244137096,0.252597326,0.249185192,0.242715206,0.237143079,0.247767753,0.445242864,0.261546097
6,1000,200,0.15,0.230266218,0.433658904,0.433308444,0.30013308,0.204117927,0.252009993,0.282017433,0.273669093,0.273887844,0.271855949,0.271359404,0.261860956,0.270850107,0.432530954,0.280948243
7,1000,200,0.15,0.224030344,0.419669599,0.420070494,0.274214317,0.193718618,0.202769998,0.259016755,0.218245595,0.23154237,0.212558763,0.221955141,0.213777986,0.203630575,0.420020133,0.233383764
8,1000,200,0.15,0.203911463,0.40557511,0.405814893,0.256057787,0.157867687,0.213959498,0.297891795,0.213715067,0.213887448,0.209189202,0.208012448,0.183884791,0.204080517,0.405352248,0.247372986
9,1000,200,0.15,0.209594029,0.429051668,0.428859644,0.260199046,0.159101626,0.200344825,0.236886069,0.197579553,0.20088474,0.201665311,0.175878464,0.177926639,0.174333682,0.429260257,0.201654218
10,1000,200,0.15,0.190047949,0.411110708,0.41100832,0.243220507,0.137632596,0.20756005,0.181191356,0.19342075,0.181259372,0.193681427,0.177925473,0.173333287,0.153638471,0.410242744,0.162806321
11,1000,200,0.15,0.193803793,0.385449637,0.3851026,0.248874654,0.168743355,0.220279923,0.206575691,0.218293335,0.227783204,0.216763847,0.242916092,0.234919589,0.227358031,0.385092215,0.236522451
12,1000,200,0.15,0.218414399,0.419041468,0.420144917,0.275147193,0.153891215,0.251559203,0.259620235,0.24708698,0.233105783,0.232706281,0.250892443,0.240234114,0.235117963,0.420740945,0.220684035
13,1000,200,0.15,0.221513967,0.413036164,0.412714538,0.256831937,0.139730092,0.242015173,0.338108517,0.239929566,0.226493588,0.225489814,0.235107961,0.224868524,0.231206734,0.412463323,0.22408233
14,1000,200,0.15,0.187050532,0.39989691,0.399799144,0.238899255,0.133444227,0.201334551,0.278506959,0.208577813,0.195450866,0.19848541,0.191374123,0.197842714,0.197866467,0.400151339,0.177585556
15,1000,200,0.15,0.191057033,0.416856504,0.416856504,0.247534,0.139877961,0.206947333,0.178717447,0.200388873,0.200024826,0.196622244,0.206201219,0.211938633,0.179251277,0.416579449,0.203072299
16,1000,200,0.15,0.205040741,0.415758308,0.415746983,0.262697827,0.164499708,0.244081093,0.258302628,0.253005381,0.212151244,0.244188162,0.222734543,0.217719485,0.225193911,0.41618251,0.190156904
