runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
1,1000,100,0.05,0.19489638433051823,0.24779694527332027,0.30838740011959237,0.22390390793209675,0.15705433836851326,0.20344225012726627,0.2549983307827068,0.20932536498653764,0.2163418359056411,0.20509464012804834,0.1679154708097233,0.18810587033263676,0.1868168940724173,0.30877571384339614,0.16637067314552165
2,1000,100,0.05,0.19668404674780743,0.24779694527332027,0.310006370667338,0.220027682863074,0.14400326258802193,0.2115184588660539,0.2352960670749562,0.22169636071237803,0.21659725469201985,0.21973151721039047,0.20311283244732992,0.20596166057600984,0.2112877592886095,0.30991449223687856,0.14848314576864602
3,1000,100,0.05,0.2051503942786937,0.24779694527332027,0.3054906590939452,0.21745472349071038,0.1356974065514159,0.22767340607511455,0.23478256597043262,0.22956601194411635,0.2192503164475184,0.2204191159015153,0.2215758461984783,0.2242686026738278,0.22645743190841905,0.3060384052542149,0.1435477306181148
4,1000,100,0.05,0.1953373000020606,0.24779694527332027,0.30653687194758006,0.20683478760877916,0.1294882299710916,0.20713184277432103,0.2174391771967002,0.2088459978700275,0.208749579798841,0.20512229225992767,0.20057779094914813,0.19309343860431077,0.1978685629861746,0.306475042327907,0.13463595405158837
5,1000,100,0.05,0.190957650013004,0.24779694527332027,0.3058530837071571,0.20984640622809553,0.1442830232558939,0.19646466561954037,0.18824758895861804,0.20543129792547055,0.20303780812426186,0.20160725988290074,0.18717934961631907,0.19095947815747594,0.19139165734953134,0.30600137848259906,0.14892764423740965
6,1000,100,0.05,0.20191005833432046,0.24779694527332027,0.3039405890844274,0.2135263769666434,0.13690210377613457,0.20535782793872492,0.25864148192868613,0.2133635057914839,0.2056916332875498,0.2041340077513697,0.19991699983914493,0.20818623890605154,0.19557769633218203,0.30370269474089284,0.14185361047464315
7,1000,100,0.05,0.19350884154965473,0.24779694527332027,0.3221984344703599,0.23087118727884615,0.1722797083320368,0.1926858233867935,0.2011794901280327,0.206890591343049,0.21197892172521932,0.21169883254963073,0.18209581232399644,0.19249144545844363,0.1786431615623525,0.32171563963389116,0.17951870855307014
8,1000,100,0.05,0.2081885905052167,0.24779694527332027,0.31185168011635056,0.23664600565302746,0.17161696976755542,0.21750145166603835,0.26511002913100207,0.23308089184465813,0.23535996788368196,0.22766479388878758,0.22703958529935744,0.230913196834635,0.22115953354596524,0.31208020121370766,0.18082086004759912
9,1000,100,0.05,0.21576841524739115,0.24779694527332027,0.31676641248454473,0.22382974777777437,0.15328248896345398,0.21317710398470663,0.23150883497662067,0.2161989137974224,0.21237789302954985,0.2181091834157151,0.20135247239315826,0.20547029293839814,0.20242822678937344,0.3167897346649529,0.15895431605671473
10,1000,100,0.05,0.20832222134876752,0.24779694527332027,0.31265717059710085,0.24187040609699195,0.19141421679434362,0.21936743862960703,0.2364842265543542,0.23396181269253935,0.23735713453726237,0.22676290270802413,0.1985020059192449,0.20900426249956008,0.207487940132065,0.31251042098593595,0.19853868029577437
