runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
1,1000,200,0.1,0.19843934661144558,0.41627355202082905,0.4162551634341811,0.27201356048864755,0.18326645305779213,0.21340548975799872,0.22967460772245685,0.2307524579750012,0.20936000894972295,0.2162447810113658,0.1798383163238848,0.1987534213872768,0.19070501720630695,0.2583147773196047,0.2349184667280814
2,1000,200,0.1,0.19805475826881677,0.4164746106443763,0.41648079415941697,0.2766568436115381,0.18497847477141166,0.22326035127984667,0.28176248448432506,0.23574058858448566,0.23467118164556677,0.23188700157985032,0.21970574486211747,0.2273530236194402,0.21818810858314597,0.28768621898358965,0.22019121229972888
3,1000,200,0.1,0.22253407639280126,0.42524093362571447,0.4252793202866386,0.27330800988574655,0.17431133317827652,0.22568962463925493,0.24291195088440298,0.23594674299225415,0.23192639936730874,0.2310170596741843,0.2109300524476116,0.21907994376693385,0.21884497133292413,0.2505826766770092,0.21499467302822364
4,1000,200,0.1,0.20565062216743885,0.41131510760771395,0.4110625717954828,0.25357148470897894,0.15399928594051457,0.19283881334085717,0.275549679699016,0.19536710287513892,0.1917454363270279,0.19698533300516874,0.18132305109769373,0.1787572492047261,0.18298582406689246,0.2477280914135053,0.23453586042219796
5,1000,200,0.1,0.2214194908762179,0.4273577634240513,0.42717512505241106,0.26115161061612735,0.1491755657915661,0.22936747681004446,0.3131908985557833,0.23513638989327157,0.22362074648228958,0.22817475535794407,0.21597138255266754,0.22001498032931846,0.20869714388733374,0.24991609276647792,0.21898016139020027
6,1000,200,0.1,0.21193865412987323,0.4199787006884792,0.42003352505277636,0.28893861853178027,0.20467134246393653,0.24005278222930398,0.27640836480231235,0.2556825306550009,0.24507276592903793,0.24448639075861667,0.24920781522886923,0.2445829299063352,0.2388892726724996,0.2824434882416476,0.242108149024851
1,1000,200,0.1,0.20395689007357343,0.40497005213316317,0.40577640932548575,0.26024162679267027,0.16757216533982727,0.20113270033464575,0.2397870648348993,0.2095957937915659,0.21633975237350778,0.2115739097300492,0.20417843140793848,0.1954316747950309,0.19733181357989582,0.24951908662978314,0.21636075172543753
2,1000,200,0.1,0.21875058135725264,0.41775398277655873,0.41767906802761956,0.26711256792777127,0.1683196933456967,0.21087796076518603,0.30537892054930604,0.2258359164768069,0.21404682093414384,0.22327101071136024,0.2121616324309612,0.21548545880255848,0.2145131104960446,0.24687769125162481,0.24280740408284746
3,1000,200,0.1,0.19656305033786717,0.4008236843340357,0.4007917920931504,0.24464695717398255,0.13359924036587686,0.2129847546598974,0.2161040942966086,0.2090621634846067,0.21775596366624816,0.20599001209453405,0.19607912244401982,0.20426880636408376,0.19529296338488877,0.23322019821800105,0.16526703924156455
4,1000,200,0.1,0.21182625074848987,0.4203708834361991,0.4202985144947802,0.27553701453105306,0.18177129873568848,0.22803401214640873,0.22833269710022874,0.23366008206501732,0.22313165448607397,0.23105934141583273,0.23058065795698246,0.23178080629843423,0.20851124271916832,0.25949179589525156,0.24250621144813686
5,1000,200,0.1,0.19296713998834922,0.4063500723294817,0.40609764445265883,0.2683567940291848,0.17612065163670554,0.20935953613692515,0.236243962109713,0.2273795858129719,0.2171025666515357,0.22840700256380275,0.19599820660272016,0.19367953312424113,0.20432947793048173,0.2512300346287512,0.267471915376939
6,1000,200,0.1,0.20287682499377468,0.41194939268554187,0.4119901026351027,0.25900925530519314,0.15781308295418697,0.21180691839004412,0.22008804890704192,0.224187539795068,0.20848296301377833,0.2202291394360446,0.21435939494862433,0.21407980899525192,0.20900015710996767,0.2355775486364374,0.18647908985548686
7,1000,200,0.1,0.20125879989120427,0.42797235164579805,0.42803854049425993,0.2663525895983765,0.18095390195751132,0.1944855003808229,0.26297836834810917,0.20443698374078,0.211213490431017,0.20012452892942667,0.1753194692655078,0.19059068953016745,0.17905993869483994,0.2524011219756321,0.24793919795893873
