id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap,noise,bias,N_T,N_C,deg_overlap
82,toy,A-E,3.0313763684893047,3.0048942847845908,3.005127663035542,2.7711631803136716,3.2390921457574122,1,0.11936963404177056,1,linear,1.0690000000004147,0.033999999999650754,-0.05921730018628453,-0.026482083704713943,100,99.99999999999999,low
83,toy,A-E,2.9368730656306727,3.006240392692332,3.006142175234666,2.732076483679648,3.280207866789684,1,0.1398294344668459,1,linear,1.1310000000003129,0.03499999999985448,0.01946884857149881,0.06936732706165927,100,100,low
84,toy,A-E,3.0425920231725616,3.007761427281044,3.0063603077175514,2.76706951407889,3.245651101356213,1,0.12208713961156187,1,linear,1.0979999999999563,0.03400000000056025,-0.08850436387451122,-0.034830595891517824,100,100.00000000000011,low
85,toy,A-E,2.950966583174645,3.0063808717194362,3.0063348888356436,2.7801913844019377,3.2324783932693495,1,0.11537933899678872,1,linear,1.1329999999998108,0.05700000000069849,-0.0027453324542850467,0.05541428854479058,100,100,low
86,toy,A-E,2.9289815547163127,2.907922118405481,2.9064574252349042,2.6819666069069457,3.130948243562863,1,0.11453613179997883,1,linear,1.2650000000003274,0.03300000000035652,-0.09011716539614775,-0.02105943631083207,100,100,low
87,toy,A-E,2.9924891592427385,2.989553409547451,2.990437397896171,2.725740733262139,3.255134062530203,1,0.1350493186908326,1,linear,1.125,0.028000000000247383,-0.029884545438229396,0.014235529610295394,97,97,low
88,toy,A-E,3.0194413081644313,3.042147569841685,3.0419845531302694,2.763618658446042,3.320350447814497,1,0.14202341565521812,1,linear,0.9839999999994689,0.02900000000045111,-0.04063734493233724,0.022706261677253536,100,100,low
89,toy,A-E,3.0324745498414702,2.8475507660252752,2.8490110256201358,2.572396410727334,3.1256256405129377,1,0.14112990555755206,1,linear,0.9880000000002838,0.028999999999541615,-0.22503523457244853,-0.18492378381619545,100,100,low
90,toy,A-E,3.031701170864874,3.06587811070439,3.067954988388157,2.7664274132117512,3.3694825635645627,1,0.1538405995797988,1,linear,0.9400000000005093,0.027000000000043656,0.03536627611904792,0.07104325977987624,98,98,low
91,toy,A-E,3.085123285521405,3.075149446675259,3.0765739462431956,2.8924709063611016,3.2606769861252896,1,0.0939301223888234,1,linear,0.9680000000007567,0.03799999999955617,-0.06027044541162127,-0.017279163044295665,98,98.00000000000001,low
92,toy,A-E,3.028781570411859,3.0361650651807555,3.036718966358636,2.7491659551813967,3.324271977535875,1,0.14671071998838733,1,linear,0.967000000000553,0.028999999999541615,-0.06624367667009627,0.007383494768895993,100,99.99999999999999,low
93,toy,A-E,3.065612801791776,3.128551684206328,3.1287113400091893,2.9246349059283334,3.332787774090045,1,0.10412062963308967,1,linear,0.9840000000003783,0.03799999999955617,-0.020265966246322938,0.05568055113985704,98,97.99999999999999,low
94,toy,A-E,2.9619201420369032,3.084764820217055,3.0848807751765013,2.8234132616328975,3.346348288720105,1,0.13340179262428764,1,linear,0.9909999999999854,0.028000000000247383,0.07211962604515837,0.12284467818015177,100,100.0000000000001,low
95,toy,A-E,2.9664484356086467,3.2320454938918566,3.2319036435888515,2.995748793183642,3.468058493994061,0,0.12048716857408641,1,linear,0.9960000000000946,0.02900000000045111,0.21075507360320084,0.2655970582832099,100,100,low
96,toy,A-E,3.035780313093933,3.153568052909737,3.152206893593734,2.8924886150320077,3.4119251721554607,1,0.13250932579679922,1,linear,0.9780000000000655,0.030000000000654836,0.08061398860576068,0.14092049447807664,99,98.99999999999983,low
97,toy,A-E,2.9949121451802956,3.0290391859616825,3.0287992089353732,2.8111706373657586,3.246427780504988,1,0.11103498549470132,1,linear,0.98700000000008,0.028000000000247383,-0.025004967240171927,0.03412704078138784,100,100,low
98,toy,A-E,3.0209155601314057,2.989099313674611,2.989402058272309,2.7065570959676903,3.2722470205769274,1,0.1443086542370502,1,linear,0.9949999999998909,0.02900000000045111,-0.11706287821479434,-0.056445011233624776,99,99,low
99,toy,A-E,2.9924898418847263,3.236595280353881,3.2349309112881492,2.9392695192323988,3.5305923033438997,1,0.15084764900803588,1,linear,1.0210000000006403,0.027999999999337888,0.23434364964056925,0.2669359009880674,99,99,low
100,toy,A-E,3.0438071370863975,3.2496831723515696,3.249354345589277,3.035766016907215,3.462942674271339,1,0.1089736370826848,1,linear,1.0010000000002037,0.028999999999541615,0.1363866612576643,0.20587603526517206,100,100,low
1,toy,A-E,2.9948577331898094,3.15832189168698,3.1582878433353887,2.973260759753827,3.34331492691695,1,0.0944015732558987,1,linear,1.1329999999998108,0.04899999999997817,0.07262434320486408,0.16346415849716944,100,100,mid
2,toy,A-E,3.01561680089275,3.1412870007452574,3.141275481682426,2.954383994402711,3.3281669689621416,1,0.09535279963250783,1,linear,1.1719999999995707,0.06500000000050932,0.05341630579469468,0.12567019985250827,100,100,mid
3,toy,A-E,2.964675336127211,3.1144720111079556,3.114418376799735,2.911225182362477,3.317611571236993,1,0.10366999716186638,1,linear,1.3939999999993233,0.09600000000045839,0.07203034741205808,0.14979667498074356,100,100,mid
4,toy,A-E,3.0094865006220126,3.142370921883037,3.1424051762399685,2.931522694078437,3.3532876584015,1,0.10759310314363853,1,linear,1.1790000000000873,0.05199999999967986,0.0670119501170402,0.13288442126102584,100,100,mid
5,toy,A-E,3.0270671935223943,3.12239476815967,3.12281023072273,2.90982849978762,3.3357919616578404,1,0.1086641484362807,1,linear,1.1610000000000582,0.054999999999381544,0.017260464265964646,0.09532757463727659,100,100,mid
6,toy,A-E,3.0039205613833193,3.0275151847898005,3.0282209886244074,2.8220868842162563,3.2343550930325584,1,0.10517046143273001,1,linear,1.26299999999992,0.06099999999969441,-0.05528825969248127,0.02359462340648122,100,100,mid
7,toy,A-E,3.004220879116461,3.0089773757119476,3.008210308640326,2.7899439349181643,3.2264766823624873,1,0.11136039475620475,1,linear,1.238999999999578,0.06700000000000728,-0.06363702220532393,0.004756496595487825,100,99.99999999999993,mid
8,toy,A-E,3.0062578055252356,3.1059389506224724,3.1062560607450065,2.9192067681350578,3.2933053533549552,1,0.09543331255609629,1,linear,1.2539999999999054,0.05400000000008731,0.02422678205103914,0.0996811450972368,100,100,mid
