runid,nc,nt,f0_sd,true_ATT,diff,bal1,bal2,or_lm,or_bart,ps_lm,ps_bart,csm_scm,csm_avg,cem_scm,cem_avg,onenn,tmle1,aipw1
1,1000,200,0.2,0.19996078318647162,0.41892001986136596,0.4189144892965613,0.25243021176700176,0.14800773386135865,0.22697254153024402,0.15178006615162376,0.22558280257359087,0.2183193843106167,0.21655760921399891,0.20800075096996914,0.232809474997174,0.18709347040876034,0.2229897798599624,0.19064444419566462
2,1000,200,0.2,0.20400776509937033,0.4081828979954668,0.4087683951605532,0.26873289651698373,0.161122713798422,0.23240303913283772,0.2688511483249013,0.2386914214472612,0.22095125613433542,0.2293122919628534,0.1761580786558416,0.17220279551842665,0.23014987040891188,0.2505423848459412,0.20986587168176202
3,1000,200,0.2,0.2268963627426814,0.4321045874985524,0.432061389797044,0.2833065069560803,0.1931713648679423,0.24089809007476076,0.39813928172410673,0.22979551060548764,0.20871265072394163,0.22553577434459815,0.2033845988697603,0.2180737673862073,0.21773493998082194,0.27430137722517395,0.30889648702719336
4,1000,200,0.2,0.20101921890686822,0.40412985708806837,0.405595379883547,0.24296801645758204,0.1232435199438677,0.2393463921839577,0.11120860071306016,0.23116401609927528,0.20776049023692678,0.22903157751603487,0.1967868573196904,0.23161009608904032,0.20947448968357152,0.21500774584453516,0.18843482621099977
5,1000,200,0.2,0.2119534404596768,0.4073018363223596,0.4072888340673023,0.24747535299255363,0.147208496116165,0.1893553775527474,0.32756388220883514,0.19253875539818677,0.21029334042820502,0.18164134255795816,0.15439398668450488,0.14534888034137503,0.14792444790873693,0.2369420031611167,0.26028917152099207
6,1000,200,0.2,0.15397697312639638,0.39152703969149605,0.39123131080965046,0.2281240787838279,0.13109603842247583,0.1625088718347298,0.22625216540148452,0.17027381871470904,0.1775074819546797,0.1612592026529278,0.1510384898105923,0.1523979055128939,0.14322789707727912,0.21200438496945684,0.15848021333481693
7,1000,200,0.2,0.17648783093013318,0.40152556573663345,0.4012400624556768,0.24620260156575147,0.13894144555696192,0.2243970220337811,0.30255116598986265,0.21428129880896896,0.1812122899690265,0.20824170377901197,0.19825975071669316,0.20642362235168657,0.17708630216521626,0.2373732271554238,0.22070087451311177
8,1000,200,0.2,0.22565460406135973,0.4272461765838056,0.42725245933063993,0.2962140121342669,0.20228798623436098,0.2612028700604961,0.2811660635967417,0.26930875058979675,0.24537041748167387,0.25807756505379975,0.2437733864253726,0.26416597811170184,0.2439652722408716,0.26791182509062544,0.2956045810289825
9,1000,200,0.2,0.20061025788232856,0.4067537862908902,0.406207725557849,0.25553884233919877,0.15108928784313502,0.24693963312504422,0.1846457518952218,0.22332149120107403,0.21894031721922314,0.2262386996983885,0.256303765800892,0.266614945438481,0.20867404049181537,0.24451937012297179,0.2348574450610657
10,1000,200,0.2,0.15991166665298323,0.39003735698603914,0.390037356985644,0.23002386864918356,0.1329315278391781,0.1824407829842352,0.19120960604589854,0.1730679673579405,0.16340307186780012,0.1703632309444647,0.17040662785608884,0.1637240833611343,0.15845436400458635,0.21239033691966114,0.19588634218259304
11,1000,200,0.2,0.2424456838986093,0.42946419826351523,0.4291021040869437,0.2829001685679805,0.18041500934219232,0.2276657908830548,0.23553532656414689,0.21205532189176002,0.2307274770782961,0.21639186308196834,0.20789823230277338,0.1981022463297646,0.18790733394575598,0.26007893672977006,0.23181061958083607
12,1000,200,0.2,0.24079205191908679,0.42398946978574514,0.423912780741859,0.27673555606590916,0.18351619529748348,0.23061842360800336,0.3139828263045842,0.23273854615872058,0.23429724763288118,0.22442049110518691,0.22241137832053415,0.2407707594097549,0.20181026405226188,0.2645395439873572,0.24811445518915737
13,1000,200,0.2,0.20939887091542092,0.42748847959176617,0.4275178351351737,0.2361117510926103,0.12873010744515156,0.202432459175672,0.2024425362611224,0.19912779428838356,0.19424655654926504,0.1976960815984221,0.15880179159976437,0.17034797129232218,0.19156707409391882,0.20675041795571844,0.1998061990535728
14,1000,200,0.2,0.20307698307031857,0.4251118216474461,0.42489719474653453,0.26969835471940806,0.15252648028733745,0.22677613168591768,0.1135261976765003,0.21987670293269712,0.22022247166998898,0.21744424735339074,0.18166870348272926,0.2020307138019024,0.19027895355636182,0.24615237483426142,0.19791244917090067
15,1000,200,0.2,0.23127573649937566,0.4382312807555968,0.437976268329186,0.29826050899459744,0.20665441715276336,0.2599226735697364,0.3145245015805177,0.26580141906632027,0.27213247103204585,0.25435411926385554,0.2371515870511185,0.2478896505354421,0.23356046246499962,0.28486007095845717,0.28369917188238436
16,1000,200,0.2,0.21666513314916813,0.4229688622110551,0.4234082780619094,0.252248481640839,0.16851067031583836,0.2093823949956936,0.14277278255570636,0.19147391776237965,0.20169080564088548,0.19680947617172495,0.17700886117295667,0.1672144935850241,0.16187122346992244,0.23761001606664278,0.19499942250619165
17,1000,200,0.2,0.2345339126566508,0.4244353559803635,0.4246506637065246,0.28237718522736055,0.1915583153242782,0.21268245243978717,0.32141005495831276,0.22254203074652146,0.21043077799634524,0.20824286191913477,0.14538181656014326,0.19218470113526775,0.17784709720401515,0.27474280202616336,0.2680107157179474
18,1000,200,0.2,0.1958391502676536,0.4188829927471732,0.4188666359706107,0.2721279546352242,0.1707551707982235,0.25307674651596124,0.21461961307677757,0.2521858783883958,0.24973911947347716,0.24231828703738845,0.25882279464247065,0.25681630282897133,0.2531186998535436,0.25259922210240243,0.24603547154972116
19,1000,200,0.2,0.1931752644559784,0.411377931392251,0.41144761575888766,0.2715731024461543,0.18155557960346644,0.23102725466445842,0.35832266874749796,0.24134813809949485,0.26209036260045826,0.2243707882122764,0.28508484308354476,0.29839311589268336,0.2704966834557615,0.27527180242493704,0.25611234393026394
20,1000,200,0.2,0.1960517920478572,0.3980421560450389,0.39804215604471493,0.23410564193186134,0.14571272632808996,0.19393946276931137,0.18993957176444187,0.17691511321348674,0.16167582269833014,0.16701056433627004,0.18146882387716834,0.1813511996823773,0.17149056748605696,0.21520634758770488,0.23136384087667186
