id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
98,toy,cluster,3.052557024,3.196799717,3.19679893,2.63906386,3.754534,1,0.284558709,1,linear,1.388,4.574
99,toy,cluster,2.987294001,3.094008151,3.094008151,2.413532413,3.774483889,1,0.347181499,1,linear,1.412,4.79
100,toy,cluster,2.963766034,3.174822252,3.174832289,2.596797169,3.752867409,1,0.294915878,1,linear,1.334,4.308
1,toy,cluster,3.01997288,3.034540883,3.034540883,2.461249381,3.607832386,1,0.292495665,1,linear,1.675,8.101
2,toy,cluster,2.871159403,3.290483379,3.290483379,2.677271795,3.903694964,1,0.312863053,1,linear,1.723,7.607
3,toy,cluster,3.294962605,3.411026013,3.411026013,2.6735257,4.148526326,1,0.37627567,1,linear,1.63,7.452
4,toy,cluster,2.937502682,3.00610755,3.00610755,2.580219687,3.431995413,1,0.217289726,1,linear,1.659,7.688
5,toy,cluster,2.957212411,2.984688673,2.984688673,2.545141164,3.424236182,1,0.224258933,1,linear,1.538,7.759
6,toy,cluster,2.93339325,3.106672026,3.106672026,2.666033277,3.547310775,1,0.224815688,1,linear,1.698,7.948
7,toy,cluster,3.146624036,3.341786941,3.341786941,2.927843317,3.755730566,1,0.211195727,1,linear,1.63,7.489
8,toy,cluster,3.003502433,3.051775935,3.051775935,2.463268662,3.640283209,1,0.300258813,1,linear,1.894,7.544
9,toy,cluster,3.109387269,3.088071807,3.088071807,2.521238438,3.654905177,1,0.289200699,1,linear,1.646,7.738
10,toy,cluster,2.907967146,2.894005605,2.894005605,2.236670551,3.551340658,1,0.335375027,1,linear,1.831,7.546
11,toy,cluster,3.018453287,3.015595468,3.015595468,2.485520111,3.545670826,1,0.270446611,1,linear,1.757,7.801
12,toy,cluster,2.915148242,3.058367027,3.058367027,2.529474476,3.587259579,1,0.269843138,1,linear,1.66,8.159
13,toy,cluster,2.960548809,3.211445459,3.211445459,2.638230479,3.784660438,1,0.292456622,1,linear,1.676,7.84
14,toy,cluster,2.880956862,3.255235388,3.255235388,2.643438453,3.867032323,1,0.312141293,1,linear,1.655,8.044
15,toy,cluster,3.027372558,3.094260095,3.094260095,2.468900865,3.719619326,1,0.319060832,1,linear,1.743,7.534
16,toy,cluster,2.982871487,3.075235689,3.075235689,2.500650526,3.649820852,1,0.293155695,1,linear,1.684,8.014
17,toy,cluster,3.043119738,2.940112335,2.940112335,2.418176507,3.462048163,1,0.26629379,1,linear,1.62,7.993
18,toy,cluster,2.929342974,3.063300689,3.063300689,2.57180733,3.554794048,1,0.250761918,1,linear,1.689,7.891
19,toy,cluster,2.975298661,3.266714437,3.266714437,2.861561398,3.671867477,1,0.206710735,1,linear,1.712,7.89
20,toy,cluster,3.057796197,3.18517701,3.18517701,2.726096928,3.644257093,1,0.234224532,1,linear,1.683,7.689
21,toy,cluster,2.95426414,3.028687729,3.028687729,2.442445609,3.614929849,1,0.299103122,1,linear,1.705,7.878
22,toy,cluster,2.941396598,2.953513226,2.953513226,2.461961263,3.44506519,1,0.250791818,1,linear,1.635,7.411
23,toy,cluster,2.815733803,2.97124159,2.97124159,2.387335017,3.555148163,1,0.297911517,1,linear,1.606,7.759
24,toy,cluster,2.989180824,3.319904806,3.319904806,2.738771776,3.901037837,1,0.296496444,1,linear,1.518,7.737
25,toy,cluster,2.954298328,3.041711613,3.041711613,2.532069269,3.551353957,1,0.260021604,1,linear,1.735,7.776
26,toy,cluster,2.998162204,3.360486571,3.360486571,2.78665464,3.934318502,1,0.292771393,1,linear,1.596,7.168
27,toy,cluster,3.138689879,3.013010321,3.013010321,2.466588771,3.559431872,1,0.278786505,1,linear,1.546,6.98
28,toy,cluster,2.970979135,2.825587035,2.825587035,2.27982422,3.37134985,1,0.278450416,1,linear,1.485,7.16
29,toy,cluster,3.000267459,3.230017733,3.230017733,2.596551963,3.863483502,1,0.323196821,1,linear,1.513,7.068
30,toy,cluster,2.98261076,3.182173373,3.182173373,2.662985089,3.701361656,1,0.264891981,1,linear,1.498,7.043
31,toy,cluster,3.10382922,3.14905747,3.14905747,2.584157314,3.713957626,1,0.288214365,1,linear,1.55,7.259
32,toy,cluster,3.00933,3.246378031,3.246378031,2.730031663,3.762724398,1,0.263442024,1,linear,1.526,7.282
33,toy,cluster,3.03879969,3.152541791,3.152541791,2.631722526,3.673361057,1,0.265724115,1,linear,1.526,7.062
34,toy,cluster,3.051732379,3.318638137,3.318638137,2.773155254,3.86412102,1,0.278307593,1,linear,1.525,7.278
35,toy,cluster,2.960223193,3.259160599,3.259160599,2.747744627,3.77057657,1,0.260926516,1,linear,1.795,6.97
36,toy,cluster,2.965271756,3.246578368,3.246578368,2.619955856,3.87320088,1,0.319705363,1,linear,1.556,7.271
37,toy,cluster,2.94693347,2.948643474,2.948643474,2.465576434,3.431710513,1,0.246462775,1,linear,1.511,7.272
38,toy,cluster,2.957537072,3.209494516,3.209494516,2.606172238,3.812816793,1,0.307817488,1,linear,1.555,7.339
39,toy,cluster,2.942459416,3.142341008,3.142341008,2.590251075,3.694430941,1,0.281678537,1,linear,1.52,7.419
40,toy,cluster,2.843148391,2.965095346,2.965095346,2.361924148,3.568266544,1,0.307740407,1,linear,1.548,7.235
41,toy,cluster,2.985914544,3.129281274,3.129281274,2.523870382,3.734692166,1,0.308883108,1,linear,1.554,7.735
42,toy,cluster,3.080538428,3.201364392,3.201364392,2.570505353,3.832223431,1,0.321866857,1,linear,1.731,8.17
43,toy,cluster,2.98067319,2.994423495,2.994423495,2.439258359,3.549588631,1,0.283247519,1,linear,1.749,7.479
44,toy,cluster,3.024268041,3.029395127,3.029395127,2.455824078,3.602966177,1,0.29263829,1,linear,1.556,7.153
45,toy,cluster,3.065493511,3.063912686,3.063856667,2.537390039,3.590323295,1,0.268605423,1,linear,1.582,7.284
46,toy,cluster,2.987558299,3.018410082,3.018410082,2.546158621,3.490661544,1,0.240944623,1,linear,1.6,7.645
47,toy,cluster,3.057248749,3.143347176,3.143347176,2.648744922,3.637949429,1,0.252348089,1,linear,1.472,6.929
48,toy,cluster,3.04306479,3.195803714,3.195803714,2.735248879,3.65635855,1,0.234976957,1,linear,1.636,7.522
49,toy,cluster,2.989612836,2.929854835,2.929854835,2.365377405,3.494332266,1,0.287998689,1,linear,1.517,7.475
50,toy,cluster,3.086252961,3.336733979,3.336733979,2.830337492,3.843130465,1,0.258365554,1,linear,1.535,7.196
51,toy,cluster,3.135974455,3.169492277,3.169492277,2.576474336,3.762510218,1,0.302560174,1,linear,1.518,7.361
52,toy,cluster,3.041786994,3.013423809,3.013423809,2.498075306,3.528772313,1,0.26293291,1,linear,1.546,7.413
53,toy,cluster,2.954459942,2.924330449,2.924330449,2.335034554,3.513626344,1,0.300661171,1,linear,1.507,7.542
54,toy,cluster,2.963423381,3.270980962,3.270980962,2.677879409,3.864082516,1,0.302602834,1,linear,1.758,8.152
55,toy,cluster,2.86264508,3.040387648,3.040387648,2.537979367,3.542795928,1,0.256330755,1,linear,1.681,7.918
56,toy,cluster,2.921505428,3.044254421,3.044254421,2.540338658,3.548170184,1,0.257099879,1,linear,1.725,7.541
57,toy,cluster,2.888632585,3.04849666,3.04849666,2.518310573,3.578682748,1,0.270503106,1,linear,1.864,7.031
58,toy,cluster,2.973723909,2.946670662,2.946670662,2.447852847,3.445488477,1,0.254498885,1,linear,1.591,7.397
59,toy,cluster,2.961010953,3.080584984,3.080584984,2.464343134,3.696826833,1,0.314409107,1,linear,1.581,7.196
60,toy,cluster,2.931914753,3.096287542,3.096287542,2.603534539,3.589040545,1,0.251404593,1,linear,1.634,7.722
61,toy,cluster,3.107346807,3.032029556,3.032029556,2.550516019,3.513543093,1,0.245670172,1,linear,1.592,7.384
62,toy,cluster,3.051166131,3.060687399,3.060687399,2.538852846,3.582521952,1,0.266242119,1,linear,1.52,7.761
63,toy,cluster,3.107239399,3.171415163,3.171415163,2.645876544,3.696953782,1,0.268131949,1,linear,1.689,7.424
64,toy,cluster,3.015220031,3.227203375,3.227203375,2.640749294,3.813657456,1,0.299211266,1,linear,1.844,6.909
65,toy,cluster,3.064958934,3.13851695,3.13851695,2.685100941,3.59193296,1,0.231334699,1,linear,1.569,7.457
66,toy,cluster,3.039105328,3.174609825,3.174609825,2.623904068,3.725315582,1,0.280972325,1,linear,1.519,7.598
67,toy,cluster,3.130392618,3.151173187,3.151173187,2.603253517,3.699092858,1,0.279550852,1,linear,1.8,7.907
68,toy,cluster,3.085682103,3.211090492,3.211090492,2.688558997,3.733621986,1,0.266597701,1,linear,1.734,7.873
69,toy,cluster,3.025314916,3.042187395,3.042187395,2.572594711,3.51178008,1,0.239588104,1,linear,1.67,7.985
70,toy,cluster,3.168685267,3.196130495,3.196130495,2.70131396,3.690947031,1,0.252457416,1,linear,1.692,7.654
71,toy,cluster,3.014869466,3.123716852,3.123716852,2.670758399,3.576675306,1,0.231101252,1,linear,1.662,7.909
72,toy,cluster,2.966756138,3.156625805,3.156625805,2.667723292,3.645528318,1,0.249440058,1,linear,1.627,7.555
73,toy,cluster,2.956816545,3.073591457,3.073591457,2.574987362,3.572195552,1,0.254389845,1,linear,1.623,7.378
74,toy,cluster,2.980123111,3.108481499,3.108481499,2.609667119,3.607295879,1,0.254497133,1,linear,1.931,7.481
75,toy,cluster,3.022342143,3.269858282,3.269858282,2.640796423,3.898920141,1,0.320949928,1,linear,1.687,7.692
76,toy,cluster,2.890789226,2.901745221,2.901745221,2.405649647,3.397840795,1,0.253109987,1,linear,1.711,8.246
77,toy,cluster,3.012244009,3.25911746,3.25911746,2.756880028,3.761354893,1,0.256243588,1,linear,1.703,8.165
78,toy,cluster,2.995009367,3.185025539,3.185025539,2.670824665,3.699226413,1,0.262347385,1,linear,1.837,8.451
79,toy,cluster,3.071822161,3.317879579,3.317879579,2.809817973,3.825941185,1,0.259215105,1,linear,1.743,7.936
80,toy,cluster,3.016142979,2.895720833,2.895720833,2.419433748,3.372007918,1,0.243003615,1,linear,1.689,7.746
81,toy,cluster,3.040489714,3.160213172,3.160213172,2.633257161,3.687169183,1,0.268855108,1,linear,1.964,7.751
82,toy,cluster,2.992432465,3.094354098,3.094239776,2.552108044,3.636371508,1,0.276597822,1,linear,1.745,7.951
83,toy,cluster,3.072628634,3.093684646,3.093684646,2.673787538,3.513581754,1,0.214233219,1,linear,1.84,8.11
84,toy,cluster,2.952051835,3.133827594,3.133827594,2.609763151,3.657892036,1,0.267379818,1,linear,1.648,7.972
85,toy,cluster,2.966467753,3.204422634,3.204422634,2.739618364,3.669226903,1,0.237145036,1,linear,1.631,7.7
86,toy,cluster,3.024169337,3.173221236,3.173221236,2.65340795,3.693034522,1,0.26521086,1,linear,1.621,7.792
87,toy,cluster,2.81343915,3.102432033,3.102432033,2.62074838,3.584115686,1,0.245756966,1,linear,1.724,7.759
88,toy,cluster,3.051033918,3.264669327,3.264669327,2.717199458,3.812139195,1,0.279321361,1,linear,1.686,7.491
