runid,nc,nt,f0_sd,num_bins,ninf,ninf_cem,true_ATT,diff,csm_scm,csm_avg,cem_scm,cem_avg,onenn
1,500,100,0.5,6,0,1,3.036816501679424,4.176410380469665,3.1232622576697606,3.0841628276450797,3.1791290616412597,3.157447258223047,3.1114012259869126
2,500,100,0.5,6,0,0,3.045013771002549,4.090140366321929,3.1433865019441667,3.143148742254657,3.130598816405585,3.074106881984796,3.0658476493537883
3,500,100,0.5,6,0,5,3.0146567307173404,4.092494886438063,3.000121930770881,2.961358064510497,2.6564057539420016,2.9242629806150164,2.9905771133225194
4,500,100,0.5,6,0,26,2.931974015290689,3.983496298606919,2.75435506662886,2.8393228407115236,2.1485608592490992,2.3409301048324274,2.7580314375626234
5,500,100,0.5,6,0,0,3.0543547003544718,4.176904380396903,3.1718832047045877,3.1764755370544826,3.253791854590661,3.2520943261055004,3.1916550343580443
6,500,100,0.5,6,0,0,3.0153866359771717,4.1169190128963304,3.156020149652634,3.1917926364985307,3.1264535297502203,3.1582144121624127,3.11405256528033
7,500,100,0.5,6,0,0,2.958844919129128,4.099720352185295,2.9976657226681835,2.9652569459997986,3.078399950082379,2.9937340298971584,3.014323751629597
8,500,100,0.5,6,0,0,3.02146914524358,4.175202058308096,2.9540581623365787,3.009227294961904,3.253124101650223,3.055301852221639,3.0244742597231014
9,500,100,0.5,6,0,14,2.8794818569265312,4.029024509637839,2.99284810363247,2.999158168126165,3.4566032499859345,3.312137603527397,2.981973574046206
10,500,100,0.5,6,0,0,2.987996073606987,4.001337242009933,3.0201421396705097,3.0553115033461014,2.8743787406268266,2.985055787387844,2.9759735754007615
11,500,100,0.5,6,0,0,3.0306255114387746,4.172462936510955,3.2600988029720686,3.289866974611204,3.1842281876270535,3.2663098316636274,3.3098365361536883
12,500,100,0.5,6,0,20,2.9397961500711265,3.9361825943749986,2.974460064929324,2.9766630333950754,3.2616622490478564,3.3073352619229848,2.946381082062027
13,500,100,0.5,6,0,2,2.948819546167131,3.9729243794560714,2.9777964866503925,3.0147800635859197,2.7854652742712833,2.9505842405933826,3.0037153283792097
14,500,100,0.5,6,0,1,2.9865631467965836,4.0518977836516195,2.9776528358049994,3.064139052074946,3.2983239302307172,3.138752397054229,2.9833547767864994
15,500,100,0.5,6,0,3,2.988942705128212,4.125656097225637,3.0684171194044714,3.105232234873162,3.3839147569250976,3.239856175273788,3.0523903804229455
