id,name,boot_mtd,att_true,att_est,att_est_debiased,lower,upper,covered,sd_boot,n_split,mu_model,time_on_matching,time_on_bootstrap
1,toy,naive,3.0199728796866863,3.0071753256711284,3.006969543662789,2.365683772187455,3.6482553151381225,1,0.3271866180996602,1,linear,1.9949999999999974,3.092000000000006
1,toy,naive,3.0199728796866863,3.0071753256711284,3.006969543662789,2.562920711080745,3.4510183762448325,1,0.22655552682757335,1,linear,1.7639999999999993,55.986000000000004
2,toy,naive,2.993479386140029,3.0660784590444665,3.066570312352306,2.7088429418367714,3.42429768286784,1,0.18251396454874194,1,linear,1.4579999999999984,55.117999999999995
3,toy,naive,3.0877958298723716,3.0963329334280267,3.0965795900381496,2.7480531689001895,3.44510601117611,1,0.1778196026214083,1,linear,1.3130000000000024,56.019999999999996
4,toy,naive,2.9288638452636158,3.1028401400762737,3.103268916899942,2.7318493602836043,3.47468847351628,1,0.18949977378384594,1,linear,1.4120000000000061,56.928
5,toy,naive,2.917559658419335,3.1255719464998926,3.1254092695844573,2.797317619961882,3.4535009192070327,1,0.1673936987870282,1,linear,1.4550000000000125,54.98799999999997
6,toy,naive,2.8790534306572635,2.9264281903772833,2.926459650378032,2.584320529667147,3.2685987710889166,1,0.17456077587290036,1,linear,1.358000000000004,52.10000000000002
7,toy,naive,3.0897652194943586,3.230764940377971,3.230491632589015,2.8980223578021054,3.562960907375925,1,0.16962718101372962,1,linear,1.2620000000000005,51.31299999999999
8,toy,naive,3.1367337204092323,3.1878024521663857,3.1878835582550966,2.714901005322953,3.6608661111872403,1,0.24131762904701198,1,linear,1.2630000000000337,51.209
9,toy,naive,2.895446270424051,2.953015781220957,2.952934163142839,2.5789997371794433,3.326868589106235,1,0.19078287038948777,1,linear,1.3210000000000264,55.79899999999998
10,toy,naive,3.1361541520117577,3.2914161062793053,3.2914174589770804,2.9669846834974862,3.6158502344566745,1,0.16552692626509893,1,linear,1.502999999999929,56.97700000000009
11,toy,naive,2.917055402069532,2.935922224684938,2.935970416737747,2.533295752927639,3.338645080547855,1,0.20544625704597358,1,linear,1.3809999999999718,51.42500000000007
12,toy,naive,3.168864250078382,3.29758514277706,3.2975049623465233,2.963803904167756,3.6312060205252905,1,0.17025564192794232,1,linear,1.245999999999981,50.77999999999997
13,toy,naive,2.9753833352291092,3.215355224453952,3.2157047707314037,2.8620152017939713,3.569394339668836,1,0.18045386170277175,1,linear,1.2530000000000427,50.561000000000035
14,toy,naive,3.165696525566217,3.3700769543949898,3.375341737242715,3.0592775610632867,3.6914059134221433,1,0.16125723274460624,1,linear,1.2959999999999354,50.84500000000003
15,toy,naive,3.0113766799113986,3.3531435611788476,3.3531161003232657,2.9317358673533143,3.774496333293217,1,0.21498991478058735,1,linear,1.252999999999929,50.644000000000005
16,toy,naive,3.0499000817559994,3.16001824988469,3.1597425364521907,2.886612010680463,3.4328730622239183,1,0.13935230906720794,1,linear,1.2480000000000473,50.34100000000001
17,toy,naive,2.9632490524816957,3.1717246907525514,3.171996389555807,2.8303539678877976,3.513638811223817,1,0.1743073579938825,1,linear,1.3279999999999745,51.325000000000045
18,toy,naive,2.958688323687061,2.988822933828909,2.989024070180442,2.5520896096044683,3.4259585307564158,1,0.22292574519182343,1,linear,1.2660000000000764,51.29499999999996
19,toy,naive,2.93408910716451,3.130600205174286,3.130472856867402,2.7684218798699725,3.4925238338648317,1,0.18471988622317825,1,linear,1.2450000000000045,51.577999999999975
20,toy,naive,2.9453544554176974,3.227903566536405,3.228126933651747,2.8910391685274432,3.565214698776051,1,0.17198355363484888,1,linear,1.2799999999999727,51.09100000000012
21,toy,naive,3.1346672336202483,3.3735415674501805,3.373532832588346,2.929411821018722,3.8176538441579697,1,0.22659235284164492,1,linear,1.293999999999869,51.52500000000009
22,toy,naive,3.0028595378142144,3.1906835499324,3.1903615138032957,2.8170263597745078,3.5636966678320836,1,0.1904771194024428,1,linear,1.240000000000009,51.08600000000001
23,toy,naive,2.9837379293741226,3.034078087850176,3.0340780878501676,2.6505625138303617,3.4175936618699736,1,0.19567121123459494,1,linear,1.2519999999999527,50.863000000000056
24,toy,naive,3.0498105113471756,3.2169800404988758,3.2172615473903723,2.7572068274696906,3.677316267311054,1,0.23472179587789874,1,linear,1.2549999999998818,50.712999999999965
25,toy,naive,2.9212633534284396,3.1620738598920672,3.161972933988465,2.769511191622861,3.5544346763540684,1,0.20023558283959375,1,linear,1.2530000000001564,50.32999999999993
26,toy,naive,3.1878128902663025,3.101120298057686,3.100827848973495,2.6856885684602907,3.515967129486699,1,0.2118057553638797,1,linear,1.25,50.81700000000001
27,toy,naive,2.855399485382854,2.8988938671369278,2.901084388432722,2.437584726689435,3.364584050176009,1,0.23647941925677896,1,linear,1.2170000000000982,50.087999999999965
28,toy,naive,3.1576512072278353,3.137086682288042,3.1364282108766597,2.7722719067103814,3.500584515042938,1,0.18579403273789707,1,linear,1.2570000000000618,50.46699999999987
29,toy,naive,2.9412316882052907,3.2328019433929738,3.232723003807009,2.8964300629756297,3.5690159446383882,1,0.17157803103641808,1,linear,1.2509999999999764,50.625
30,toy,naive,2.9143692785684876,2.945062289707243,2.944947725849911,2.630184444414774,3.2597110072850475,1,0.1605935109362942,1,linear,1.2570000000000618,50.75999999999999
31,toy,naive,2.9729537464907194,2.9666911790738766,2.9659654644817683,2.625101676362674,3.3068292526008625,1,0.17391009597912976,1,linear,1.23700000000008,49.84999999999991
32,toy,naive,2.848096584488505,3.088335907981521,3.08835127541652,2.739630488905713,3.4370720619273274,1,0.17791876862796285,1,linear,1.2460000000000946,50.43999999999983
33,toy,naive,3.0333829451329315,3.2475763292913307,3.2477480310287623,2.844870910023074,3.6506251520344506,1,0.2055495515335144,1,linear,1.240000000000009,50.71900000000005
34,toy,naive,3.101593235758022,3.2283808638832694,3.2286307165112538,2.81256656192275,3.6446948710997575,1,0.2122776298920938,1,linear,1.2300000000000182,49.702999999999975
35,toy,naive,3.064959670748736,3.2456180359021616,3.2456130013979303,2.773296470007047,3.7179295327888138,1,0.24097782213820576,1,linear,1.2359999999998763,48.69400000000019
36,toy,naive,2.888350087119235,3.0196321706108273,3.0197617027710772,2.6472084127231934,3.392314992818961,1,0.19007820920810398,1,linear,1.1970000000001164,48.80399999999986
37,toy,naive,2.9631108685189065,3.2403112385440673,3.2400606355731227,2.858522811719583,3.6215984594266626,1,0.19466215502731632,1,linear,1.2210000000000036,49.09999999999991
38,toy,naive,3.0289857650557837,3.1222900208080606,3.1223025423663535,2.756159392620869,3.488445692111838,1,0.1868077294619819,1,linear,1.1879999999998745,49.312000000000126
39,toy,naive,3.059218918189365,3.213152852791084,3.213194424839671,2.9339503703774383,3.492438479301904,1,0.1424714563582821,1,linear,1.2179999999998472,49.38400000000024
40,toy,naive,2.918620217377437,2.887726084716883,2.8877948769258786,2.5477563498515092,3.227833404000248,1,0.17348904442569865,1,linear,1.205000000000382,49.43199999999979
1,kang,naive,0,-1.433577441612016,0.11434623660824114,-0.07405333671434261,0.3027458099308249,1,0.09612223128703253,1,kang_correct,6.621000000000095,244.2249999999999
2,kang,naive,0,-2.375749910784549,-0.0865100829926072,-0.2533356081316034,0.08031544214638894,1,0.08511506384642661,1,kang_correct,6.83600000000024,261.8409999999999
3,kang,naive,0,-1.9162026487552453,0.034230921185573464,-0.1512817466821888,0.21974358905333574,1,0.09464932034069504,1,kang_correct,6.322999999999865,256.74800000000005
4,kang,naive,0,-2.0137440589350035,-0.1744981443378238,-0.4107979439702,0.06180165529455239,1,0.12056112226141642,1,kang_correct,6.163000000000011,253.0880000000002
5,kang,naive,0,-2.313291394706823,0.07421899978648965,-0.08487833454190667,0.23331633411488595,1,0.08117210935122261,1,kang_correct,6.802000000000135,250.45499999999993
6,kang,naive,0,-1.2074565625968319,-0.043287153640363354,-0.2531602932922387,0.16658598601151198,1,0.1070781324754466,1,kang_correct,6.361000000000331,253.55499999999984
7,kang,naive,0,-1.1062745372286713,-0.007763091398627191,-0.2299390500602201,0.21441286726296574,1,0.11335508094979231,1,kang_correct,6.722999999999956,261.4250000000002
8,kang,naive,0,-1.6599764164590454,0.086929211355514,-0.06855198515345771,0.2424104078644857,1,0.07932714107600598,1,kang_correct,6.0460000000002765,244.51000000000022
9,kang,naive,0,-1.2903286137546672,-0.015795071919471194,-0.17797387704519055,0.14638373320624817,1,0.08274428832944865,1,kang_correct,6.863000000000284,264.85599999999977
10,kang,naive,0,-1.3163846079191615,0.018785889378972808,-0.19002943461119182,0.2276012133691374,1,0.10653843060722684,1,kang_correct,6.697000000000116,259.34100000000035
11,kang,naive,0,-1.209336539267639,0.039853306780550976,-0.17098459924153808,0.25069121280264006,1,0.10757036021535157,1,kang_correct,6.311999999999898,256.7449999999999
12,kang,naive,0,-0.8271570831830388,0.09001845089713222,-0.07194127572035293,0.2519781775146174,1,0.08263251358034956,1,kang_correct,6.484000000000378,258.692
13,kang,naive,0,-0.9466352515370886,0.1679856565463479,-0.02274990412684591,0.3587212172195417,1,0.09731406156795602,1,kang_correct,6.480000000000473,261.15499999999975
14,kang,naive,0,-1.155738640870851,0.031677382855619995,-0.18114644905824026,0.24450121476948025,1,0.10858358771115319,1,kang_correct,6.395000000000437,255.23599999999988
15,kang,naive,0,-1.6905461198945773,0.08479370022884804,-0.095748538563394,0.2653359390210901,1,0.09211338713889901,1,kang_correct,6.253999999999905,251.17100000000028
16,kang,naive,0,-2.1035666498221985,-0.12194736906736846,-0.26359811083368334,0.01970337269894644,1,0.07227078661546679,1,kang_correct,6.592000000000553,262.8229999999994
17,kang,naive,0,-1.8803789491203133,0.13124255490717393,-0.04881665398685081,0.31130176380119867,1,0.09186694331327792,1,kang_correct,6.813999999999396,263.6729999999998
18,kang,naive,0,-1.7697389621656612,-0.024404813630462766,-0.19566457767312406,0.14685495041219854,1,0.08737743063401086,1,kang_correct,6.583999999999833,255.90599999999995
19,kang,naive,0,-1.6892993941250154,0.0880422962250422,-0.10274487600710733,0.2788294684571917,1,0.09734039399599466,1,kang_correct,6.479000000000269,250.41399999999976
