id,data,att,att_hat,q025,q975,covered
5,toy,3.0947204209613903,3.0315703091973196,-0.027096330755282966,-0.010870706358795479,FALSE
5,kang,0,-0.3303539647768332,-0.06414654296714781,0.0533455553872539,FALSE
5,hain,0,-2.2620840463732153,0.019407642390922273,0.060740685467553665,FALSE
5,acic,0.35799144292088,-0.01763667567090682,-8.747161230532565e-4,0.0011177806463281018,FALSE
7,toy,2.986624819156184,3.180032006798669,-0.029371649926406854,-0.011556332515874405,FALSE
7,kang,0,2.514139161086547,-0.05403237509956647,0.052397278644355366,FALSE
7,hain,0,-0.10929923674377928,-0.01474402079938702,0.017127002412500494,FALSE
7,acic,2.7000532565523034,2.422172347858813,-0.005341521565271502,-0.0035595000141543306,FALSE
4,toy,2.9121674178916788,3.2555376372195166,-0.030156692567333283,-0.01653303216932587,FALSE
4,kang,0,1.3536328550776204,-0.062363312178255595,0.04720389006974737,FALSE
4,hain,0,-0.4006072069574804,-0.011249050526500859,0.024498886197736373,FALSE
4,acic,5.19733838516628,5.7392802873896835,-0.013630792223957171,-0.011638298300208136,FALSE
1,toy,3.077414009002836,3.022901861395016,-0.026257778691270044,-0.008513489510610362,FALSE
1,kang,0,-2.7850268981968327,-0.04696881471091133,0.05033047288720366,FALSE
1,hain,0,0.4350183958677034,-0.02478259986679115,0.014027367213802112,FALSE
1,acic,5.915199271091466,6.225673320181533,-0.012805612240784643,-0.010855431255768357,FALSE
2,toy,2.9992080989544574,3.230783586648819,-0.030064032582082026,-0.007972955377241958,FALSE
2,kang,0,-0.14694448196095777,-0.06925449256576273,0.04766695883283247,FALSE
2,hain,0,-0.8127066321407836,9.692849369469152e-4,0.030393401445651978,FALSE
2,acic,6.041447988600905,6.398289181349222,-0.0119997449999858,-0.00978073427599157,FALSE
6,toy,3.2090968309287504,3.2191992200139348,-0.030222220018987004,-0.015350248224211379,FALSE
6,kang,0,0.5762373937985785,-0.0663452101464447,0.05407437155464264,FALSE
6,hain,0,0.4598028712735589,-0.03234806411317615,0.011558401684540812,FALSE
6,acic,3.0012787739243976,3.187118401121193,-0.006972827045390772,-0.005170492786066413,FALSE
3,toy,2.942179630641978,3.115161476780358,-0.026620921057191414,-0.009292477938685309,FALSE
3,kang,0,3.6577706282036786,-0.067779431600307,0.052114458027040275,FALSE
3,hain,0,2.2142993945346916,-0.05288880830649091,-0.023011349564159504,FALSE
3,acic,3.6093926912641683,3.144266063835215,-0.006205194876664582,-0.004631412197879851,FALSE
14,toy,2.9641393402782548,3.0271171347967734,-0.029111589873978265,-0.015631914797470135,FALSE
14,kang,0,-0.9600860475867705,-0.0539055818952651,0.045147037653573245,FALSE
14,hain,0,0.600420687190625,-0.02705282176906241,0.005281238661677345,FALSE
14,acic,4.486357654550091,5.774333024391251,-0.013813797884655435,-0.012173542655648847,FALSE
8,toy,2.8720266402762933,2.944753673002266,-0.03029426635692256,-0.012113111279404912,FALSE
8,kang,0,0.49253017494734763,-0.0651857819544504,0.04988611582027296,FALSE
8,hain,0,0.8756599496524125,-0.029150643346119477,0.00456950170190021,FALSE
8,acic,1.92273175238978,2.046888501010455,-0.0047778920199868236,-0.0031478745261551535,FALSE
12,toy,3.136009226568981,3.2695322271017124,-0.030110955998201513,-0.009670720147565206,FALSE
12,kang,0,-1.1346041082439342,-0.05751697194483115,0.04601533047199101,FALSE
12,hain,0,2.2229062789191136,-0.058812690814238074,-0.015270867916720788,FALSE
12,acic,3.394015899088797,3.587829771485572,-0.007635557129538772,-0.005724556916608438,FALSE
10,toy,2.940536692044637,3.2125572201548733,-0.02935753436038444,-0.014819527156842252,FALSE
